COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO
VIII46_5_B,"MUJERES_PERSONAL_CONTRATADO_POR_MENOS_DE_SEIS_MESES : Cantidad de personas contratadas con permanencia menor a seis meses para la realización de las actividades agrícolas, ganaderas o forestales, que cobran un salario como jornal, es decir, por jornada de trabajo, la cual generalmente se mide por el numero de día trabajados (en la mayoría de los casos cobran por día). Es tan precario su empleo que solamente les pagan los días realmente trabajados, porque quizás al siguiente sus manos ya no sean necesarias. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
UP_VI40_1_1,"UP_QUE_OBTUVIERON_CREDITO : Cantidad de dinero o de insumos que se debe a una persona física o empresa denominada acreedor, a cambio de un  compromiso de pago a futuro por el mismo valor recibido, generalmente incluye el pago de intereses. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
VI40_2_HASTA_10_P,"Tasa de interés de hasta del 10 % : Es el porcentaje que se cobra como interés por una suma determinada, es decir, es el precio que se paga por el uso del dinero. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
VI40_2_MAS_10_A_15_P,"Tasa de interés de más del 10 al 15 % : Es el porcentaje que se cobra como interés por una suma determinada, es decir, es el precio que se paga por el uso del dinero. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
VI40_2_MAS_15_A_20_P,"Tasa de interés de más del 15 al 20 % : Es el porcentaje que se cobra como interés por una suma determinada, es decir, es el precio que se paga por el uso del dinero. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
VI40_2_MAS_20_A_25_P,"Tasa de interés de más del 20 al 25 % : Es el porcentaje que se cobra como interés por una suma determinada, es decir, es el precio que se paga por el uso del dinero. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
VI40_2_MAS_25_P,"Tasa de interés mayor del 25 % : Es el porcentaje que se cobra como interés por una suma determinada, es decir, es el precio que se paga por el uso del dinero. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
VI40_2AB_C,"No sabe la tasa de interés : Es aquella que para el desarrollo de las actividades recibe dinero o insumos, en el periodo de referencia, pudiendo ser proporcionado por una persona, física o moral, denominada acreedor, por una empresa, banco, negocio, etc., a cambio del pago por el mismo valor recibido, y generalmente el pago de intereses acordados, desconocidos en ese momento. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
VI40_2AB_1_AÑO,Plazo de pago a un año : Total de años que le otorgaron el crédito. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
VI40_2AB_2_AÑOS,Plazo de pago a dos años : Total de años que le otorgaron el crédito. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
VI40_2AB_3_AÑOS,Plazo de pago a tres años : Total de años que le otorgaron el crédito. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
VI40_2AB_4_AÑOS,Plazo de pago a cuatro años : Total de años que le otorgaron el crédito. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
VI40_2AB_5_AÑOS,Plazo de pago a cinco años : Total de años que le otorgaron el crédito. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
VI40_2AB_MAS_5_AÑOS,Plazo de pago de más de cinco años : Total de años que le otorgaron el crédito. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
VI40_4_1,"Banca comercial  : Institución financiera privada que, entre sus diversos servicios, otorga crédito para el financiamiento de la producción agrícola, ganadera o forestal. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
VI40_4_2,"Sofol : Por sus siglas: Sociedad Financiera de Objeto Limitado. La SOFOL es una sociedad anónima especializada en el otorgamiento de créditos a una sola actividad o sector económico, por ejemplo: SOFOLES especializadas en préstamos hipotecarios o SOFOLES especializadas en actividades agrícolas y pecuarias, entre otras. Las dos grandes diferencias contra los bancos son que estas instituciones no tienen la posibilidad de captar recursos del público en forma de depósitos y cuentas de ahorro, y están especializadas en otorgar créditos a solamente una actividad económica. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
VI40_4_3,Sofom  : Por sus siglas: Sociedad Financiera de Objeto Múltiple. La SOFOM es una sociedad cuyo objetivo principal es el otorgamiento de crédito y/o la celebración de arrendamiento financiero y/o de factoraje financiero conforme a la Ley; no requiere la autorización de las autoridades financieras. Es el cambio de la naturaleza de la SOFOL; esto quiere decir que siguen sin la posibilidad de captar recursos del público general pero ahora pueden otorgar todo tipo de créditos. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
VI40_4_4,"Unión de crédito : Es una entidad financiera auxiliar de crédito, autorizada y regulada por la Comisión Nacional Bancaria y de Valores, constituida como Sociedad Anónima de Capital Variable y que tiene como objetivo servir a sus socios como medio para la obtención y canalización de recursos financieros, satisfacer sus necesidades productivas y hacer más eficientes sus procesos de organización y administración. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
VI40_4_5,"Financiera rural : Es una banca de desarrollo rural del Gobierno Federal que tiene como objetivo crear un sistema financiero rural de acceso al crédito, contribuyendo al fortalecimiento de la agricultura y la ganadería, así como de las diversas actividades vinculadas con el medio rural. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
VI40_4_6,"Caja de ahorro popular  : Es una entidad financiera de carácter benéfico y social, con ámbito de actuación territorialmente limitado. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
VI40_4_7,Familires que viven en el país : Familiares del productor que viven en México y le prestan dinero para ser utilizado en las actividades agropecuarias o forestes realizadas dentro de la unidad de producción. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
