"iso","adm1","sbtn_natural_forests__class","area__ha"
"MEX",16,"Unknown",2621939.78702924638815384
"MEX",16,"Natural Forest",3228710.21927076188225473
"MEX",16,"Non-Natural Forest",8927.80070455466374135
