ENTIDAD,CULTIVO,ESTIMACION,LIMITE_DE_CONFIANZA_INFERIOR,LIMITE_DE_CONFIANZA_SUPERIOR,COEFICIENTE_DE_VARIACION,ESTATUS
Michoacán de Ocampo,Superficie plantada de Fresa,,3191.8,3559.4,2.78,Cifras Definitivas
Michoacán de Ocampo,Superficie plantada de Guayaba,,7802.1,8562.3,2.37,Cifras Definitivas
Coahuila de Zaragoza,Superficie sembrada de Sorgo forrajero,,0,0,0,Cifras Definitivas
Nuevo León,Superficie sembrada de Sorgo forrajero,,0,0,0,Cifras Definitivas
Sonora,Superficie sembrada de Sorgo forrajero,,53131,58769,2.57,Cifras Definitivas
Coahuila de Zaragoza,Superficie cosechada de Papa,,420.5,934.5,19.35,Cifras Definitivas
Michoacán de Ocampo,Superficie cosechada de Fresa,,3086.2,3486.8,3.11,Cifras Definitivas
Michoacán de Ocampo,Superficie cosechada de Guayaba,,6938.5,7959.1,3.5,Cifras Definitivas
Coahuila de Zaragoza,Superficie cosechada de Sorgo forrajero,,0,0,0,Cifras Definitivas
Nuevo León,Superficie cosechada de Sorgo forrajero,,0,0,0,Cifras Definitivas
Sonora,Superficie cosechada de Sorgo forrajero,,39392.4,46342.3,4.14,Cifras Definitivas
Coahuila de Zaragoza,Producción de Papa,,16840.1,30709.9,14.88,Cifras Definitivas
Michoacán de Ocampo,Producción de Fresa,,78017.5,102731.8,6.98,Cifras Definitivas
Michoacán de Ocampo,Producción de Guayaba,,77481.5,109451.8,8.73,Cifras Definitivas
Coahuila de Zaragoza,Producción de Sorgo forrajero,,1134851,1593913.7,8.58,Cifras Definitivas
Nuevo León,Producción de Sorgo forrajero,,79208.6,125423.4,11.52,Cifras Definitivas
Sonora,Producción de Sorgo forrajero,,99870,149013.7,10.07,Cifras Definitivas
