TIPO_DATO,ENTIDAD,CB114_1,CB114_2,CB114_3,CB114_4,CB121_1,CB121_2,CB121_2_1,CB121_3,CB121_3_1,CB121_3_2,CB121_4,CB121_5,CB121_6,CB121_7,CB121_VACAS,CB122,CB122_01,CB131_1,CB131_2,CB131_3,CB131_3_1,CB131_3_1_1,CB131_NO_CLAS,CB161_1,CB161_2,CB161_3,CB161_4,CB161_NO_CLAS,CP112,CP121_1,CP121_1_1,CP121_2,CP121_2_1,CP121_3,CP121_4,CP121_5,CP121_5_1,CP121_6,CP121_7,CP121_7_3,CP121_DESTETE,CP121_MUEREN,CP131_1,CP131_2,CP131_3,CP131_3_1,CP131_NO_CLAS,ESTATUS
Coeficiente de variación,San Luis Potosí,4.6,2.8,5.94,5.03,17,8.52,1.27,4.53,2.04,1.4,10.09,5.87,20.58,8.26, , , ,4.28,4.92,18.47,24.29,5.96,6.8,5.79,12.3,5.39,12.91,5.96, , , , , , , , , , , ,5.94,1.41,5.71, , , , , ,Cifras Definitivas
Estimación,Sinaloa,264503,272273,674871,311187,4713,94790,2.8,857853,5.4,518.8,31465,197973,20587,278294, , , ,474999,773560,267598,187541,6677,37159,350489,255200,711164,199303,6677, , , , , , , , , , , ,220641,7.5,33433, , , , , ,Cifras Definitivas
Límite de confianza inferior,Sinaloa,229599,185140,0,291361,2321,83535,2.7,85342,5.2,509.4,25193,176668,14022,253898, , , ,304970,313626,0,0,3800,30612,317231,223926,0,164454,3800, , , , , , , , , , , ,209508,7.3,30396, , , , , ,Cifras Definitivas
Límite de confianza superior,Sinaloa,299407,359406,1432606,331014,7104,106046,2.8,1630363,5.6,528.1,37737,219278,27152,302690, , , ,645029,1233494,570854,488954,9554,43707,383747,286474,1483015,234153,9554, , , , , , , , , , , ,231775,7.7,36469, , , , , ,Cifras Definitivas
Coeficiente de variación,Sinaloa,6.73,16.33,57.29,3.25,25.89,6.06,0.87,45.95,1.79,0.92,10.17,5.49,16.27,4.47, , , ,18.26,30.34,57.82,82,21.98,8.99,4.84,6.25,55.38,8.92,21.98, , , , , , , , , , , ,2.57,1.4,4.63, , , , , ,Cifras Definitivas
Estimación,Sonora,444313,324196,268614,628951,19301,195947,2.8,417033,5.6,527.9,68740,600737,54808,246317, , , ,458158,664672,539374,94700,3869,63191,1012053,195112,380034,75006,3869,2267675,492761,180187,1358241,94.9,170030,82286,46310,115.9,2215,115832,470316,6.5,53030,141999,509110,1615308,220498,1258,Cifras Definitivas
Límite de confianza inferior,Sonora,333303,207026,168870,588496,11509,180014,2.8,246194,5.5,519.7,61255,499704,35444,220357, , , ,400987,545395,311141,51042,2453,30623,936028,151443,132686,54477,2453,1418331,354031,120715,704622,94.6,55334,5397,11628,97.8,1519,80335,435836,6.5,49077,85640,167021,828659,132425,784,Cifras Definitivas
Límite de confianza superior,Sonora,555323,441366,368358,669405,27092,211879,2.8,587872,5.8,536.2,76226,701770,74172,272278, , , ,515329,783950,767608,138358,5285,95758,1088078,238780,627383,95535,5285,3117019,631492,239659,2011860,95.2,284726,159174,80991,134,2911,151329,504795,6.6,56982,198359,851199,2401956,308572,1731,Cifras Definitivas
Coeficiente de variación,Sonora,12.75,18.44,18.95,3.28,20.6,4.15,0.59,20.9,1.56,0.8,5.56,8.58,18.03,5.38, , , ,6.37,9.16,21.59,23.52,18.67,26.3,3.83,11.42,33.21,13.96,18.67,19.11,14.36,16.84,24.55,0.16,34.42,47.67,38.21,7.98,16.03,15.64,3.74,0.72,3.8,20.25,34.28,24.85,20.38,19.21,Cifras Definitivas
Estimación,Tabasco,268617,200382,186670,408447,5853,165978,2.7,197048,5.6,498.9,74174,493958,22767,77532, , , ,222847,637178,194933,82235,9157,26806,744057,254618,12900,43383,9157, , , , , , , , , , , ,280663,7.3,60265, , , , , ,Cifras Definitivas
Límite de confianza inferior,Tabasco,250347,184603,168554,374993,2212,150238,2.7,170329,5.4,489.6,62336,456155,13127,47190, , , ,195108,588672,140010,34328,5678,21121,679341,218140,6495,25648,5678, , , , , , , , , , , ,262894,7.2,54703, , , , , ,Cifras Definitivas
Límite de confianza superior,Tabasco,286887,216162,204786,441901,9495,181718,2.8,223766,5.9,508.3,86012,531761,32407,107874, , , ,250587,685685,249856,130141,12637,32490,808774,291095,19306,61119,12637, , , , , , , , , , , ,298433,7.5,65826, , , , , ,Cifras Definitivas
Coeficiente de variación,Tabasco,3.47,4.02,4.95,4.18,31.74,4.84,0.93,6.92,1.96,0.96,8.14,3.9,21.6,19.97, , , ,6.35,3.88,14.38,29.72,19.39,10.82,4.44,7.31,25.33,20.86,19.39, , , , , , , , , , , ,3.23,1.05,4.71, , , , , ,Cifras Definitivas
Estimación,Tamaulipas,256880,182978,126082,468201,8639,72644,2.7,206147,5.7,522.9,66562,583218,8110,50681, , , ,153983,576398,297078,129779,6681,38139,733237,230630,34158,29434,6681, , , , , , , , , , , ,330329,6.6,34634, , , , , ,Cifras Definitivas
Límite de confianza inferior,Tamaulipas,231206,143049,107184,432884,3767,62669,2.6,147984,5.5,513.7,56263,528797,4432,38005, , , ,129655,504757,239982,85606,4445,32597,676199,178740,0,15721,4445, , , , , , , , , , , ,300810,6.4,31501, , , , , ,Cifras Definitivas
Límite de confianza superior,Tamaulipas,282554,222907,144979,503518,13512,82619,2.7,264310,5.9,532,76861,637640,11788,63356, , , ,178310,648039,354174,173952,8918,43681,790274,282520,71788,43147,8918, , , , , , , , , , , ,359847,6.7,37766, , , , , ,Cifras Definitivas
Coeficiente de variación,Tamaulipas,5.1,11.13,7.65,3.85,28.77,7.01,1.25,14.4,1.82,0.89,7.89,4.76,23.14,12.76, , , ,8.06,6.34,9.81,17.37,17.08,7.41,3.97,11.48,56.21,23.77,17.08, , , , , , , , , , , ,4.56,1.02,4.61, , , , , ,Cifras Definitivas
Estimación,Tlaxcala,16928,19545,13953,26319,690,8672,2.2,9201,4.9,531.3,1896,2117,7982,26957, , , ,23191,21900,14321,9515,17331,19229,4133,856,38302,16121,17331, , , , , , , , , , , ,15610,3.9,2936, , , , , ,Cifras Definitivas
Límite de confianza inferior,Tlaxcala,15494,17698,12430,23976,372,7405,2.1,7459,4.6,512.5,1276,1388,6247,23846, , , ,20104,18717,11332,7003,15862,17763,2672,177,34411,13560,15862, , , , , , , , , , , ,14064,3.5,2397, , , , , ,Cifras Definitivas
Límite de confianza superior,Tlaxcala,18361,21392,15476,28662,1009,9939,2.2,10943,5.1,550.1,2517,2846,9716,30068, , , ,26278,25084,17311,12026,18801,20694,5594,1535,42194,18682,18801, , , , , , , , , , , ,17156,4.4,3474, , , , , ,Cifras Definitivas
Coeficiente de variación,Tlaxcala,4.32,4.82,5.57,4.54,23.53,7.45,1.46,9.66,2.55,1.8,16.7,17.57,11.09,5.89, , , ,6.79,7.42,10.65,13.47,4.33,3.89,18.04,40.47,5.18,8.11,4.33, , , , , , , , , , , ,5.05,6.18,9.36, , , , , ,Cifras Definitivas
Estimación,Veracruz de Ignacio de la Llave,717383,520048,727434,1391037,16193,360334,2.7,1028229,5.9,500.5,122222,480139,119417,1086666,1206083,260653,1423166,796531,2079256,428456,174836,51659,142702,2208708,369168,396722,329645,51659, , , , , , , , , , , ,729771,7.3,133755, , , , , ,Cifras Definitivas
Límite de confianza inferior,Veracruz de Ignacio de la Llave,677006,471005,447309,719616,7751,319696,2.6,303594,5.7,492.6,102878,411236,91695,992322,1111716,249214,1330218,705229,1355001,310475,100811,41404,125659,2072592,282779,0,51438,41404, , , , , , , , , , , ,685396,7.1,123196, , , , , ,Cifras Definitivas
Límite de confianza superior,Veracruz de Ignacio de la Llave,757759,569092,1007559,2062458,24634,400972,2.7,1752863,6.1,508.4,141567,549042,147139,1181010,1300449,272093,1516114,887833,2803512,546437,248860,61914,159746,2344824,455557,1068398,607852,61914, , , , , , , , , , , ,774147,7.6,144314, , , , , ,Cifras Definitivas
Coeficiente de variación,Veracruz de Ignacio de la Llave,2.87,4.81,19.65,24.63,26.6,5.75,1.02,35.96,1.82,0.8,8.08,7.32,11.84,4.43,3.99,2.24,3.33,5.85,17.77,14.05,21.6,10.13,6.09,3.14,11.94,86.38,43.06,10.13, , , , , , , , , , , ,3.1,1.65,4.03, , , , , ,Cifras Definitivas
Estimación,Yucatán,111270,105784,63579,198718,1746,56688,2.5,122585,5.7,509.2,19819,247462,1029,2528, , , ,44373,295873,128706,23103,10399,27494,131716,290799,5753,40684,10399,1053963,287344,37190,655542,94.3,32724,581,3128,161,3579,71066,148728,6.4,13130,25682,40407,961627,62555,26247,Cifras Definitivas
Límite de confianza inferior,Yucatán,101246,88100,53983,183100,318,49289,2.5,104924,5.5,499.8,15948,225558,119,709, , , ,31785,270558,101676,16435,8654,23979,107140,263012,3046,28717,8654,963153,269707,30345,576768,92.9,30779,258,1434,118.8,2933,63897,135261,6.2,11879,18487,31627,869342,9394,24114,Cifras Definitivas
Límite de confianza superior,Yucatán,121293,123467,73175,214337,3173,64086,2.6,140246,6,518.5,23690,269366,1939,4347, , , ,56961,321188,155736,29772,12144,31009,156292,318586,8460,52651,12144,1144773,304980,44034,734315,95.8,34668,904,4822,203.1,4225,78235,162195,6.5,14381,32877,49186,1053912,115717,28380,Cifras Definitivas
Coeficiente de variación,Yucatán,4.6,8.53,7.7,4.01,41.71,6.66,1.46,7.35,1.92,0.94,9.96,4.52,45.1,36.71, , , ,14.47,4.37,10.72,14.73,8.56,6.52,9.52,4.88,24.01,15.01,8.56,4.4,3.13,9.39,6.13,0.77,3.03,28.33,27.63,13.35,9.21,5.15,4.62,1.34,4.86,14.29,11.09,4.9,43.36,4.15,Cifras Definitivas
Estimación,Zacatecas,245562,171416,154293,378806,2352,143355,2.5,164274,5.3,511.5,49498,347832,55603,129719, , , ,186168,455305,274482,79662,34121,57442,553671,85628,161250,115406,34121, , , , , , , , , , , ,274730,6.9,37811, , , , , ,Cifras Definitivas
Límite de confianza inferior,Zacatecas,229341,152037,141541,355387,1492,124929,2.5,133336,5.1,504.5,40620,322912,38463,106461, , , ,163154,420776,216554,53601,29809,51390,517955,46497,117009,95469,29809, , , , , , , , , , , ,254515,6.7,33289, , , , , ,Cifras Definitivas
Límite de confianza superior,Zacatecas,261782,190794,167044,402225,3212,161781,2.6,195213,5.4,518.5,58376,372753,72743,152977, , , ,209182,489834,332410,105724,38432,63494,589388,124759,205491,135343,38432, , , , , , , , , , , ,294944,7,42334, , , , , ,Cifras Definitivas
Coeficiente de variación,Zacatecas,3.37,5.77,4.22,3.15,18.65,6.56,1,9.61,1.51,0.7,9.15,3.66,15.73,9.15, , , ,6.31,3.87,10.77,16.69,6.45,5.38,3.29,23.32,14,8.81,6.45, , , , , , , , , , , ,3.75,1.2,6.1, , , , , ,Cifras Definitivas
