TIPO_DATO,ENTIDAD,CB114_1,CB114_2,CB114_3,CB114_4,CB121_1,CB121_2,CB121_2_1,CB121_3,CB121_3_1,CB121_3_2,CB121_4,CB121_5,CB121_6,CB121_7,CB121_VACAS,CB122,CB122_01,CB131_1,CB131_2,CB131_3,CB131_3_1,CB131_3_1_1,CB131_NO_CLAS,CB161_1,CB161_2,CB161_3,CB161_4,CB161_NO_CLAS,CP112,CP121_1,CP121_1_1,CP121_2,CP121_2_1,CP121_3,CP121_4,CP121_5,CP121_5_1,CP121_6,CP121_7,CP121_7_3,CP121_DESTETE,CP121_MUEREN,CP131_1,CP131_2,CP131_3,CP131_3_1,CP131_NO_CLAS,ESTATUS
Límite de confianza superior,Guanajuato,193366,177108,162514,248660,5449,112429,2.4,138057,5.7,585.1,27064,176224,186173,94814,271091,100937,1673468,162150,283366,301866,73504,49533,71118,171274,53212,433798,94938,49533,1516821,393321,202966,997608,95.6,56103,3172,17964,238,9513,97117,189345,5.7,36446,56807,288925,1212138,588216,48372,Cifras Definitivas
Coeficiente de variación,Guanajuato,3.11,3.4,3.52,4.51,21.46,5.29,1.03,4.9,1.46,4.98,8.32,4.11,7.78,6.85,5.4,3.56,6.06,5.01,3.55,5.75,12,5.26,4.26,5.05,11.02,4.09,7.57,5.26,14.25,13.51,14.45,18.87,0.16,11.06,18.48,33.32,8.21,15.94,11.02,3.67,1.78,4.86,13.35,18.97,18.86,39.7,3.84,Cifras Definitivas
Estimación,Guerrero,253523,205201,198629,407460,11893,114902,2.8,203222,5.9,506.2,70493,275492,33292,270931, , , ,208396,658184,148951,22561,49283,84588,526787,273357,129550,85836,49283, , , , , , , , , , , ,238252,7.4,42373, , , , , ,Cifras Definitivas
Límite de confianza inferior,Guerrero,242590,192715,185648,387732,8879,103831,2.8,183129,5.7,496.4,58899,251490,23488,244302, , , ,182524,619047,121933,12465,41388,75316,488379,239158,106921,66651,41388, , , , , , , , , , , ,224647,7.2,38470, , , , , ,Cifras Definitivas
Límite de confianza superior,Guerrero,264455,217688,211611,427187,14907,125973,2.8,223315,6.1,515.9,82087,299494,43096,297560, , , ,234267,697321,175969,32656,57178,93859,565195,307556,152179,105022,57178, , , , , , , , , , , ,251857,7.6,46276, , , , , ,Cifras Definitivas
Coeficiente de variación,Guerrero,2.2,3.1,3.33,2.47,12.93,4.92,0.85,5.04,1.84,0.99,8.39,4.45,15.03,5.01, , , ,6.33,3.03,9.25,22.83,8.17,5.59,3.72,6.38,8.91,11.4,8.17, , , , , , , , , , , ,2.91,1.24,4.7, , , , , ,Cifras Definitivas
Estimación,Hidalgo,79060,78786,55578,130931,4183,47838,2.2,50453,5.4,510.8,12227,60160,59189,50852, , , ,87194,133830,77900,14877,45431,59453,72503,20605,147549,58266,45431, , , , , , , , , , , ,77143,5.3,14211, , , , , ,Cifras Definitivas
Límite de confianza inferior,Hidalgo,72878,70306,48819,120392,2480,41289,2.2,41079,5.1,497.3,8748,51348,48577,41231, , , ,74070,118839,64018,8745,39861,53608,60274,13887,130271,46718,39861, , , , , , , , , , , ,70282,5,11844, , , , , ,Cifras Definitivas
Límite de confianza superior,Hidalgo,85241,87265,62337,141470,5886,54387,2.3,59828,5.8,524.3,15706,68971,69800,60473, , , ,100317,148820,91781,21009,51002,65298,84732,27323,164826,69814,51002, , , , , , , , , , , ,84004,5.7,16578, , , , , ,Cifras Definitivas
Coeficiente de variación,Hidalgo,3.99,5.49,6.21,4.11,20.77,6.98,1.55,9.48,3.15,1.35,14.52,7.47,9.15,9.65, , , ,7.68,5.72,9.09,21.03,6.26,5.02,8.61,16.63,5.97,10.11,6.26, , , , , , , , , , , ,4.54,2.98,8.5, , , , , ,Cifras Definitivas
