TIPO_DATO,ENTIDAD,IV22,IV22_MEN_1_AÑO,IV22_1_A_2_AÑOS,IV22_MAS_2_A_3_AÑOS,IV22_MAY_3_AÑOS,IV22_2_2,IV22_2_3,IV22_2_4,IV22_2_5,IV22_2_6,IV22_2_7,IV22_2_1,IV22_3CNT,IV22_3_1PS,IV23_1,IV23_2,IV23_3,IV23_NO_ESPECIFICADA,IV26,IV26_1_1,IV26_1_2,IV26_1_2_1,IV26_1_3,IV26_1_5,IV26_1_5_1,IV26_1_5_2,IV26_1_4,ESTATUS
Límite de confianza superior,Distrito Federal,9831.00,3074.00,3626.00,1882.00,1883.00,716.00,4340.00,308.00,1412.00,1488.00,1018.00,1557.00,18691.00,8.62,3046.00,3522.00,2567.00,1526.00,15893.00,5305.00,9472.00,623.00,266.00,1346.00,2.00,10.00,293.00,Cifras Definitivas
Coeficiente de variación,Distrito Federal,2.48,4.51,6.47,5.96,7.28,10.14,6.28,19.34,12.36,14.18,10.74,5.29,11.4,2.18,7.74,7.00,7.00,5.40,2.32,5.96,3.26,12.43,21.11,9.56,2.39,2.38,14.21,Cifras Definitivas
Estimación,Durango,1308326.00,270195.00,245425.00,174253.00,618453.00,221126.00,304484.00,33203.00,489022.00,162200.00,53126.00,45165.00,3508727.00,6.28,269420.00,589707.00,430189.00,19010.00, , , , , , , , ,33203.00,Cifras Definitivas
Límite de confianza inferior,Durango,1209801.00,251404.00,173879.00,151280.00,594196.00,141490.00,304484.00,31017.00,470756.00,123851.00,45305.00,36816.00,2574059.00,6.10,251073.00,508785.00,364457.00,16736.00, , , , , , , , ,31017.00,Cifras Definitivas
Límite de confianza superior,Durango,1406852.00,288985.00,316971.00,197226.00,642711.00,300763.00,330585.00,35390.00,507289.00,200550.00,60947.00,51670.00,4443395.00,6.46,287767.00,670628.00,495921.00,21284.00, , , , , , , , ,35390.00,Cifras Definitivas
Coeficiente de variación,Durango,3.84,3.55,14.87,6.73,2.00,18.37,4.37,3.36,1.91,12.06,7.51,8.56,13.59,1.46,3.47,7.00,8.00,6.10, , , , , , , , ,3.36,Cifras Definitivas
Estimación,Guanajuato,707969.00,168995.00,167862.00,171676.00,199436.00,71187.00,237050.00,13720.00,136665.00,115928.00,81269.00,52150.00,2086983.00,4.78,128394.00,301032.00,234746.00,43797.00, , , , , , , , ,13720.00,Cifras Definitivas
Límite de confianza inferior,Guanajuato,688367.00,158162.00,155269.00,157481.00,185055.00,63372.00,237050.00,10670.00,122254.00,101265.00,69160.00,41717.00,1832062.00,4.60,111294.00,278772.00,213642.00,37703.00, , , , , , , , ,10670.00,Cifras Definitivas
Límite de confianza superior,Guanajuato,727571.00,179827.00,180456.00,185871.00,213816.00,79002.00,255807.00,16770.00,151076.00,130590.00,93377.00,54217.00,2341905.00,4.96,145494.00,323291.00,255851.00,49890.00, , , , , , , , ,16770.00,Cifras Definitivas
Coeficiente de variación,Guanajuato,1.41,3.28,3.83,4.22,3.68,5.60,4.04,11.34,5.38,6.45,7.60,6.65,6.23,1.89,6.80,3.77,5.00,7.10, , , , , , , , ,11.34,Cifras Definitivas
Estimación,Guerrero,1072584.00,264995.00,191283.00,189715.00,426591.00,125935.00,308764.00,38827.00,239426.00,39686.00,254434.00,65512.00,793893.00,7.03,208738.00,698996.00,119246.00,45604.00, , , , , , , , ,38827.00,Cifras Definitivas
Límite de confianza inferior,Guerrero,1052963.00,256989.00,183510.00,180785.00,414528.00,117172.00,308764.00,36509.00,225688.00,34455.00,239713.00,55218.00,746369.00,6.85,190726.00,673466.00,102059.00,40190.00, , , , , , , , ,36509.00,Cifras Definitivas
Límite de confianza superior,Guerrero,1092205.00,273002.00,199056.00,198645.00,438653.00,134697.00,325010.00,41145.00,253165.00,44917.00,269156.00,67230.00,841417.00,7.20,226751.00,724526.00,136433.00,51017.00, , , , , , , , ,41145.00,Cifras Definitivas
Coeficiente de variación,Guerrero,0.93,1.55,2.07,2.40,1.44,3.55,2.68,3.05,2.93,6.72,2.95,5.01,3.05,1.28,4.4,1.86,7.00,6.06, , , , , , , , ,3.05,Cifras Definitivas
Estimación,Hidalgo,379919.00,89755.00,74297.00,68843.00,147024.00,62138.00,60881.00,11107.00,104927.00,52661.00,38503.00,49702.00,863962.00,5.17,110592.00,145220.00,83034.00,41073.00, , , , , , , , ,11107.00,Cifras Definitivas
Límite de confianza inferior,Hidalgo,369160.00,85349.00,69410.00,63507.00,140407.00,57040.00,60881.00,9721.00,98203.00,46015.00,34122.00,43321.00,729101.00,5.03,102071.00,136220.00,72587.00,37597.00, , , , , , , , ,9721.00,Cifras Definitivas
Límite de confianza superior,Hidalgo,390678.00,94162.00,79184.00,74179.00,153641.00,67235.00,67201.00,12493.00,111650.00,59306.00,42883.00,50504.00,998824.00,5.30,119114.00,154221.00,93480.00,44547.00, , , , , , , , ,12493.00,Cifras Definitivas
Coeficiente de variación,Hidalgo,1.44,2.51,3.36,3.95,2.30,4.19,5.30,6.37,3.27,6.44,5.80,3.91,7.96,1.32,3.93,3.16,6.00,4.32, , , , , , , , ,6.37,Cifras Definitivas
Estimación,Jalisco,2153327.00,509630.00,477054.00,402952.00,763691.00,377312.00,555933.00,47241.00,488189.00,418470.00,222958.00,43224.00,6561349.00,5.15,361266.00,1118441.00,651203.00,22417.00, , , , , , , , ,47241.00,Cifras Definitivas
Límite de confianza inferior,Jalisco,2077336.00,483427.00,439354.00,384635.00,724449.00,360926.00,555933.00,43603.00,463458.00,382866.00,187933.00,32471.00,6072757.00,5.07,334669.00,1066345.00,586781.00,18771.00, , , , , , , , ,43603.00,Cifras Definitivas
Límite de confianza superior,Jalisco,2229318.00,535833.00,514754.00,421269.00,802933.00,393699.00,607240.00,50879.00,512919.00,454074.00,257983.00,41886.00,7049941.00,5.24,387864.00,1170537.00,715625.00,26063.00, , , , , , , , ,50879.00,Cifras Definitivas
Coeficiente de variación,Jalisco,1.80,2.63,4.03,2.32,2.62,2.22,4.71,3.93,2.58,4.34,8.02,6.46,3.80,0.84,3.76,2.38,5.00,8.30, , , , , , , , ,3.93,Cifras Definitivas
Estimación,Ciudad de México,490241.00,125518.00,134387.00,92575.00,137761.00,48261.00,136036.00,10534.00,69625.00,55878.00,67360.00,102547.00,911843.00,5.56,115685.00,185970.00,94853.00,93733.00, , , , , , , , ,10534.00,Cifras Definitivas
Límite de confianza inferior,Ciudad de México,475140.00,119730.00,127333.00,85881.00,130453.00,41813.00,136036.00,9099.00,64200.00,47086.00,61412.00,92849.00,742028.00,5.39,105258.00,175198.00,81154.00,89513.00, , , , , , , , ,9099.00,Cifras Definitivas
Límite de confianza superior,Ciudad de México,505343.00,131306.00,141441.00,99270.00,145070.00,54708.00,144954.00,11969.00,75050.00,64670.00,73308.00,101432.00,1081658.00,5.72,126111.00,196741.00,108551.00,97956.00, , , , , , , , ,11969.00,Cifras Definitivas
Coeficiente de variación,Ciudad de México,1.57,2.36,2.68,3.69,2.71,6.82,3.34,6.95,3.98,8.03,4.51,2.25,9.50,1.53,4.60,2.96,7.00,2.30, , , , , , , , ,6.95,Cifras Definitivas
Estimación,Michoacán de Ocampo,1652265.00,250866.00,0.00,0.00,390647.00,102922.00,0.00,30744.00,194112.00,0.00,302168.00,64016.00,1284173.00,6.00,0.00,626465.00,0.00,50281.00, , , , , , , , ,30744.00,Cifras Definitivas
Límite de confianza inferior,Michoacán de Ocampo,586089.00,239144.00,0.00,0.00,372081.00,92118.00,0.00,27704.00,171830.00,0.00,277271.00,51429.00,1131673.00,5.78,0.00,591628.00,0.00,42761.00, , , , , , , , ,27704.00,Cifras Definitivas
Límite de confianza superior,Michoacán de Ocampo,2718441.00,262589.00,0.00,0.00,409212.00,113726.00,0.00,33785.00,216394.00,0.00,327065.00,68013.00,1436672.00,6.22,0.00,661302.00,0.00,57800.00, , , , , , , , ,33785.00,Cifras Definitivas
Coeficiente de variación,Michoacán de Ocampo,32.92,2.39,0.00,0.00,2.42,5.36,0.00,5.05,5.86,0.00,4.20,7.08,6.06,1.88,0.00,2.84,0.00,7.63, , , , , , , , ,5.05,Cifras Definitivas
Estimación,Morelos,129962.00,33062.00,29352.00,28816.00,38732.00,17633.00,40418.00,4345.00,34356.00,3372.00,22478.00,7360.00,99205.00,6.59,20476.00,77207.00,27644.00,4635.00, , , , , , , , ,4345.00,Cifras Definitivas
Límite de confianza inferior,Morelos,125898.00,30860.00,26624.00,25840.00,35894.00,15451.00,40418.00,3494.00,30402.00,1935.00,19443.00,4801.00,83705.00,6.25,16470.00,71261.00,23057.00,3456.00, , , , , , , , ,3494.00,Cifras Definitivas
Límite de confianza superior,Morelos,134026.00,35263.00,32079.00,31793.00,41571.00,19815.00,44568.00,5196.00,38310.00,4809.00,25513.00,7419.00,114704.00,6.92,24482.00,83153.00,32230.00,5815.00, , , , , , , , ,5196.00,Cifras Definitivas
Coeficiente de variación,Morelos,1.60,3.40,4.74,5.27,3.74,6.31,5.24,9.99,5.87,21.74,6.89,10.93,7.97,2.59,9.98,3.93,8.00,12.98, , , , , , , , ,9.99,Cifras Definitivas
