COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO
MO_REMU_MUJ,"Mano de obra remunerada : Total de mujeres que mediante un acuerdo, de palabra o escrito, se comprometen a trabajar durante un tiempo determinado a cambio de un pago también previamente acordado, en la unidad de producción, en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
MO114_MUJ,Mano de obra permanente : Total de mujeres contratadas con sueldo por un periodo de seis meses o más y que contribuyen al desarrollo de las  actividades agropecuarias de la unidad de producción en el periodo de referencia; pueden ser parientes o no. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
MO115_MUJ,Mano de obra eventual : Total de mujeres contratadas con sueldo por un periodo menor a seis meses y que contribuyen al desarrollo de las actividades  agropecuarias de la unidad de producción en el periodo de referencia; pueden ser parientes o no. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
MO115_02_MUJ,"Jornaleros : Número de mujeres contratadas en el período de referencia para la realización de las actividades agrícolas, ganaderas o  forestales, que cobran un salario por día de trabajo. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
MO118_MUJ,Total de productore(a)s que participan en las labores agropecuarias : Productor mujer que también participa activamente en las labores agropecuarias o forestales de la unidad de producción. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
PR111_1,"Unidades de producción que tramitaron o les ofrecieron algún crédito o préstamo : Es la unidad económica conformada por uno a más terrenos ubicados en un mismo municipio, la cual tramitó o se le ofreció una cantidad de dinero o insumos para el desarrollo de las actividades de la unidad de producción, en el periodo de referencia, pudiendo ser proporcionado por una persona, física o moral, denominada acreedor, por una empresa, banco, negocio, etc., a cambio del pago por el mismo valor recibido, y generalmente el pago de intereses acordados. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR112_1,"Unidades de producción que obtuvieron crédito : Cantidad de dinero o de insumos que se obtiene de una persona física o empresa denominada acreedor, a cambio de un  compromiso de pago a futuro por el mismo valor recibido, generalmente incluye el pago de intereses. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR113_1,"Caja de ahorro popular : Son entidades crediticias parecidas a los Bancos pero con un particular régimen legal, nacidas para fomentar el ahorro, con  fines especialmente sociales y no especulativos. Las hay de dos tipos: las Sociedades Financieras Populares y las constituidas  por los trabajadores de un centro de trabajo. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR113_2,"Financiera rural : Banca de desarrollo rural del Gobierno Federal que tiene como objetivo crear un sistema financiero rural de acceso al crédito,  contribuyendo al fortalecimiento de la agricultura y la ganadería, así como de las diversas actividades vinculadas con el  medio rural. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR113_3,"Unión de crédito : Entidad financiera que tiene como objetivo servir a sus socios como medio para la obtención y canalización de recursos  financieros, satisfacer sus necesidades productivas y hacer más eficientes sus procesos de organización y administración. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR113_4,"Prestamistas : Institución que presta dinero de manera inmediata a sus clientes a través de una garantía prendaria. Es decir, se deja un bien  de valor, como pueden ser joyas y relojes de oro o plata, aparatos electrónicos, monedas antiguas, automóviles, entre algunos  otros. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR113_5,"Banca comercial : Institución financiera privada que, entre sus diversos servicios, otorga crédito para el financiamiento de la producción  agrícola, ganadera o forestal. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR113_6,"SOFOL o SOFOM : SOFOM (Sociedad Financiera de Objeto Múltiple):  Es una sociedad cuyo objetivo principal es el otorgamiento de crédito y/o la celebración de arrendamiento financiero y/o de  factoraje financiero conforme a la Ley; no requiere la autorización de las autoridades financieras y pueden otorgar todo tipo  de créditos.  SOFOL (Sociedad Financiera de Objeto Limitado):  Es una sociedad anónima especializada en el otorgamiento de créditos a una sola actividad o sector económico, por ejemplo  SOFOLES especializadas en préstamos hipotecarios, actividades agrícolas y pecuarias, entre otras. A diferencia de los  bancos estas instituciones no captan recursos del público. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR113_7,Empresa o persona que comprará la producción : La empresa o persona que le comprará la cosecha le otorgo un crédito o préstamo para ser utilizado en las actividades  agropecuarias o forestes realizadas dentro de la unidad de producción en el periodo de referencia. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
PR113_8,"Empresa o persona que provee los insumos : La empresa o persona que le proporciona insumos (semilla, medicamentos, fertilizantes, entre otros) le otorgó un crédito o  préstamo, para ser utilizado en las actividades agropecuarias o forestes realizadas dentro de la unidad de producción en el  período de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR113_9,Familires que viven en el país : Algún familiar del productor que vive en México le prestó dinero para ser utilizado en las actividades agropecuarias o  forestes realizadas dentro de la unidad de producción en el periodo de referencia. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
PR113_10,Familiares que viven en el extranjero : Algún familiar del productor que viven en el extranjero le prestó dinero para ser utilizado en las actividades agropecuarias o  forestes realizadas dentro de la unidad de producción en el periodo de referencia. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
PR113_11,Amigos o conocidos : Algún amigo o conocido le prestó dinero al productor para ser utilizado en las actividades agropecuarias o forestes realizadas  dentro de la unidad de producción en el periodo de referencia. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
PR113_99,"Otra fuente : Cualquier institución diferente a la de gobierno, al fondo de aseguramiento y al aseguramiento privado; que asegura la  inversión del productor agrícola, ganadero o forestal ante factores adversos. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR117_1,"Agrícola : Se refiere a que el crédito o préstamo fue utilizado por la unidad de producción en actividades relacionadas con el  aprovechamiento de especies vegetales cultivadas, tanto en cielo abierto como en agricultura protegida, en el período de  referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR117_2,"Ganadera : Se refiere a que crédito o préstamo fue utilizado por la unidad de producción en actividades relacionadas a la explotación en  cualquiera de sus fases (cría, reproducción, engorda y uso), de ganado bovino, porcino, ovino, caprino, équidos, animales  con pelaje fino, aves de corral, conejos, abejas y otros animales no clasificados en otra parte, como aves de ornato, venados,  cocodrilos, entre otras especies. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR117_3,"Forestal : Crédito o préstamo utilizado por la unidad de producción en actividades relacionadas con la plantación, reforestación,  conservación y tala de especies forestales de ciclos productivos mayores de 10 años; al cultivo, en viveros forestales, de  especies forestales para tareas de forestación y reforestación, y/o a la recolección de productos forestales, como gomas,  resinas y otros productos silvestres, en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR117_99,"Otro : Crédito o préstamo utilizado en cualquier tipo de actividad diferente a la agricultura, ganadería o forestal, como: minería,  ecoturismo, prestación de servicios, pesca, acuicultura, cinegética (caza de animales), beneficiadora de sal, comercio, entre  otras, realizada en la unidad de producción en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR116_1,"Compra de materiales o de materias primas : Crédito o préstamo que el productor utilizó en la compra de semillas, plantas, abonos, fertilizantes, insecticidas, herbicidas,  medicamentos, biológicos, semen, hormonales, entre otros, en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR116_2,"Pago de sueldos, salarios o jornales : Crédito o préstamo que el productor utilizó para el pago de sueldos, salarios y /o jornales de la unidad de producción, en el  período de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR116_3,"Compra de maquinaria o equipo : Crédito o préstamo que el productor utilizó para la adquisición de maquinaria o equipo para las labores agropecuarias de la  unidad de producción, en el período de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
