"iso","adm1","adm2","umd_tree_cover_extent_2010__ha","area__ha"
"MEX",16,1,8549.17928265462900243,17633.82519468668342223
"MEX",16,2,76715.44713295993096650,139685.44702324877005792
"MEX",16,3,533.42297506841989573,15952.01202733435880524
"MEX",16,4,2030.10693531334876263,24028.89022819354640302
"MEX",16,5,4940.60586199898009361,7683.83191449682721376
"MEX",16,6,49973.12151756521308664,164026.75622552156259112
"MEX",16,7,3566.59514773385123962,5841.41117812758061061
"MEX",16,8,175568.37699596438644150,226308.47034073321776826
"MEX",16,9,42064.90507522696954872,69516.60997598156128685
"MEX",16,10,196799.51169929939522394,343444.56588331923779686
"MEX",16,11,104.1020535206121838,6767.61375372116639528
"MEX",16,12,10393.06790066113530895,92238.56785521171817489
"MEX",16,13,34876.64711634161025855,91810.14611774664018446
"MEX",16,14,10988.50888125709091476,23376.75119523359504090
"MEX",16,15,15139.64773517584662105,32302.22203892370284311
"MEX",16,16,2962.37550887546680566,15205.83458791269127347
"MEX",16,17,15372.00856424567317139,22237.33372138210342665
"MEX",16,18,16563.94002066536174240,30458.30219620411148060
"MEX",16,19,82822.24847361808799659,102201.74164601610792291
"MEX",16,20,6542.98298134706366710,19231.84184054010344264
"MEX",16,21,6461.59338647521867240,22941.35033262686055447
"MEX",16,22,23342.59521697361837830,110903.57476127196961556
"MEX",16,23,19407.13816041614726889,36571.93908847072946131
"MEX",16,24,234796.42830989545199896,282637.31299833076930409
"MEX",16,25,11746.13007444722891510,39368.20665862223110303
"MEX",16,26,3401.56439116379566061,13111.38343262325790870
"MEX",16,27,3684.72641671285025020,37881.34503919540664278
"MEX",16,28,1557.43299635076210393,17327.63227946330180077
"MEX",16,29,23590.90725389426988593,50500.62741289685558276
"MEX",16,30,1383.23828521867725608,25442.20021026685425778
"MEX",16,31,8161.91782381358930419,30417.65072765387582419
"MEX",16,32,4271.69198624640691813,42361.28457337297801226
"MEX",16,33,12097.42299604306009369,24397.11297618537776237
"MEX",16,34,11707.25881456549241967,36732.25119775034332873
