"Indicador","Área geográfica","Periodo","DATA"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Superficie cultivada a cielo abierto. Manzana (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Superficie cultivada a cielo abierto. Naranja (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Superficie cultivada a cielo abierto. Plátano (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Producción a cielo abierto. Jitomate (tomate rojo) (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Superficie cultivada a cielo abierto. Aguacate (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Superficie cultivada a cielo abierto. Sorgo grano (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Superficie cultivada a cielo abierto. Trigo grano (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Superficie cultivada a cielo abierto. Frijol grano (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Superficie cultivada a cielo abierto. Caña de azúcar (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Porcentaje de superficie agrícola por disponibilidad de agua. De riego (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Superficie cultivada a cielo abierto. Maíz grano blanco (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Porcentaje de superficie agrícola por disponibilidad de agua. De temporal (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Superficie cultivada a cielo abierto. Maíz grano amarillo (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Superficie cultivada a cielo abierto. Jitomate (tomate rojo) (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Superficie cultivada a cielo abierto. Maíz forrajero y sorgo forrajero (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Superficie beneficiada por el PROAGRO para actividades agrícolas (Hectáreas) Anual","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Producción. Arroz (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019","157432.7"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Superficie. Trigo grano (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","702054.9"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Producción. Uva (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019","316213.9"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Producción. Limón (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019","1351055.8"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Superficie. Caña de azúcar (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","873978.3"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Producción. Calabaza (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019","651066.5"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Superficie. Naranja (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","443174"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Superficie. Jitomate (Tomate rojo) (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","42383.3"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Producción. Soya (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019","310411.6"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Superficie. Soya (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","187766"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Producción. Frijol (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019","828113.9"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Producción. Cebolla (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019","999487.2"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Producción. Naranja (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019","3500105.8"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Superficie. Maíz grano amarillo (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","1534965.5"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Producción. Plátano (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019","1927485.3"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Superficie. Calabaza (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","54882.7"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Superficie. Aguacate (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","213422.1"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Producción. Trigo grano (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019","3735122.9"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Producción. Fresa (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019","233467.5"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Producción. Cacao (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019","24265.6"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Superficie. Arroz (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","26867.9"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Superficie. Mango (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","181665.2"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Producción. Jitomate  (Tomate rojo) (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019","2860305.2"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Superficie. Limón (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","209436.6"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Superficie. Sorgo grano (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","1411676.3"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Producción. Maíz grano amarillo (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019","5400839.4"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Superficie. Plátano (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","92834.2"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Producción. Aguacate (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019","2013590.9"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Producción. Amaranto (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019","5352.5"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Superficie. Cacao (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","57096.2"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Superficie. Maíz grano blanco (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","6672098.2"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Superficie. Manzana (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","36874.7"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Superficie. Fresa (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","13821.2"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Superficie. Cebolla (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","43557.6"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Producción. Chile (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019","1981390"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Superficie. Frijol (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","1788816.7"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Producción. Maíz grano blanco (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019","25811328.1"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Producción. Sorgo grano (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019","3671068"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Superficie. Alfalfa (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","397487.9"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Producción. Caña de azúcar (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019","53315792.8"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Superficie. Chile (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","135488.2"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Producción. Manzana (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019","406211.1"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Superficie. Amaranto (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","4226.9"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Superficie. Uva (Hectáreas) Bienal","00 Estados Unidos Mexicanos","2019","28543.9"
"Notas y Llamadas:""""Fuente:""Encuesta Nacional Agropecuaria""SAGARPA. Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación."""
