municipio,ha_agricola_total,ha_forestal_total,ha_urbana,ha_aguacate,ton_aguacate,pct_bosque,pct_aguacate_en_agri,fase_narrativa,baseline_def_nacional,state_reforestacion_total,state_unidades_forestales,impact_ratio
Hidalgo,29383.1073,22527.4341,3177.31575973,249.476,1684.3254,0.43395810435326426,0.008490167744520861,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.00849045669176044
Erongarícuaro,7381.9634,3781.5128,473.20871342,248.496,1668.9657,0.3387093789496367,0.03365802951156442,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.033662589007146804
Nuevo Urecho,12757.4167,2840.2745,1054.22182436,244.5755,2860.3633,0.1820841545988166,0.01916973757409883,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.019171240208842595
Juárez,9033.4028,0.0,488.39482212,237.2286,2198.9429,0.0,0.02625835987742322,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.02626126668457649
Ocampo,4622.5594,3590.8613,830.61153535,220.7631,1164.4639,0.4371411486144117,0.047747434584705456,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.04775776380504705
Zinapécuaro,19185.2388,13576.4661,3014.84751744,217.5519,1509.8566,0.41438782730054746,0.01133895508482882,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.011339546109793536
Coalcomán De Vázquez Pallares,113658.0578,24481.8103,1256.06492646,177.566,1776.0122,0.1772235156527151,0.0015622688014223535,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0015622825467637017
Panindícuaro,7416.2421,0.0,1075.63574337,135.9616,1238.4129,0.0,0.018330478925583406,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.018332950592322223
Charo,9833.1076,3583.8504,1014.61750749,112.8734,906.1123,0.26709357712999254,0.011477747101323155,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.011478914356637367
Quiroga,7682.783,2275.4189,700.91313299,102.2671,928.2442,0.22847402059395946,0.013309472690730594,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.01331120506722629
Queréndaro,8693.623,5093.5175,1704.68262603,96.7901,838.6028,0.3694129386047379,0.01113217904905135,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.011133459548452929
Jungapeo,10365.6915,5001.4164,665.12643951,92.6911,706.9862,0.3254412600786073,0.008941242246863428,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.00894210482725634
San Lucas,25112.4084,0.0,1524.06431247,88.902,939.1212,0.0,0.003540021274053744,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.003540162241069638
Tzintzuntzan,6199.6713,338.6772,597.81471703,82.8331,482.9223,0.051790663855887174,0.01335873101352752,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.013360885761798372
Buenavista,53607.695,0.0,3668.31706959,74.9478,711.9573,0.0,0.0013980530583704751,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0013980791377058836
Coeneo,14974.8677,1556.057,1186.32643517,68.5857,656.5799,0.09412437016483628,0.004579747990161531,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.004580053819106529
Marcos Castellanos,15889.4762,0.0,739.9732985,66.0016,724.4152,0.0,0.004153531912404237,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.004153793313841271
Lagunillas,2584.3767,137.063,310.80609146,64.1,691.774,0.05034565136557478,0.024793292211537296,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.024802885740302486
Maravatío,26009.8986,46.5204,5071.61722374,59.5214,486.3067,0.0017853034485111514,0.0022883254021835294,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0022884133812040314
