iso,adm1,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
MEX,16,2001,1156.3091739321058,417284.10695750493
MEX,16,2002,320.7463114624566,136780.769213337
MEX,16,2003,179.83524497109917,84874.84823148807
MEX,16,2004,486.05363365683354,224193.09129841256
MEX,16,2005,469.3169544082854,208568.57963133304
MEX,16,2006,555.0904452454015,267121.11861960654
MEX,16,2007,866.6949235386979,416000.5941836119
MEX,16,2008,539.1315394665407,244174.85346119487
MEX,16,2009,718.9057936425497,332819.5169566986
MEX,16,2010,621.2682812210608,298698.5509179557
MEX,16,2011,797.1331335436001,340060.6485477729
MEX,16,2012,714.0505393628541,335830.15286882897
MEX,16,2013,733.4217776606814,372256.5296159928
MEX,16,2014,594.5874442754512,299271.6404278116
MEX,16,2015,639.2014770077418,319459.6466487469
MEX,16,2016,996.7694966861704,524247.13809336215
MEX,16,2017,929.2283839659914,449184.2322869998
MEX,16,2018,1731.9767485242996,792201.3527006514
MEX,16,2019,886.8939793679478,406189.97468532104
MEX,16,2020,694.7641659214951,332240.1326011367
MEX,16,2021,1531.3028779586436,571238.2615448529
MEX,16,2022,1054.4191614054148,452029.9646813455
MEX,16,2023,803.8787505777509,354240.9854111211
MEX,16,2024,1494.323394146014,503543.96955781494
