Entidad Federativa,Cultivo desarrollado en instalaciones de agricutura protegida,Tipo de instalación,Suma de Superficie cosechada al momento de la visita (Ha),Suma de Num. de Instalaciones
HIDALGO,TOMATE ROJO (JITOMATE),Invernadero,97.913,756
HIDALGO,TOMATE ROJO (JITOMATE),Macrotunel,0.345,12
HIDALGO,TOMATE ROJO (JITOMATE),Microtunel,0.390,348
HIDALGO,TOMATE ROJO (JITOMATE),Vivero,0.100,1
HIDALGO,TOMATE VERDE,Casa sombra,0.030,1
HIDALGO,TOMATE VERDE,Invernadero,0.785,21
HIDALGO,TOMATE VERDE,Microtunel,0.027,75
HIDALGO,TULIPANES,Invernadero,0.350,1
HIDALGO,ZANAHORIA,Microtunel,0.044,133
JALISCO,ALSTROEMERIA (GRUESA),Invernadero,0.292,5
JALISCO,ANTURIOS,Invernadero,0.033,1
JALISCO,APIO,Invernadero,0.048,1
JALISCO,ARANDANO,Casa sombra,4.500,4
JALISCO,ARANDANO,Macrotunel,23.300,25
JALISCO,ARANDANO,Techo sombra,1.400,1
JALISCO,ARBOLES PARA JARDIN,Invernadero,0.007,1
JALISCO,AVE DEL PARAISO,Casa sombra,0.020,1
JALISCO,AVE DEL PARAISO,Invernadero,0.060,1
JALISCO,BEGONIA,Invernadero,0.006,2
JALISCO,BLUEBERRY,Macrotunel,160.210,71
JALISCO,BROCOLI,Invernadero,0.048,1
JALISCO,CALABACITA,Invernadero,0.024,1
JALISCO,CALABAZA,Invernadero,0.180,1
JALISCO,CHILE,Invernadero,0.350,1
JALISCO,CHILE GÜERO,Invernadero,0.048,1
JALISCO,CHILE HABANERO,Invernadero,2.220,9
JALISCO,CHILE HABANERO (PLÁNTULA),Invernadero,0.048,1
JALISCO,CHILE MORRON,Casa sombra,5.040,7
JALISCO,CHILE MORRON,Invernadero,151.902,133
JALISCO,CHILE MORRON,Macrotunel,0.075,2
JALISCO,CHILE POBLANO,Invernadero,0.461,5
JALISCO,CHILE SECO,Invernadero,0.048,1
JALISCO,CHILE SERRANO (PLÁNTULA),Invernadero,0.190,2
JALISCO,CHILE VERDE,Invernadero,0.236,4
JALISCO,CHILE VERDE,Macrotunel,0.171,3
JALISCO,CILANTRO,Invernadero,0.005,1
JALISCO,CRISANTEMO,Invernadero,0.640,4
JALISCO,CRISANTEMO,Macrotunel,0.040,2
JALISCO,DIANTHUS,Invernadero,0.100,1
JALISCO,DURAZNO,Invernadero,0.120,1
JALISCO,ELOTE,Invernadero,0.050,1
JALISCO,EUCALIPTO,Invernadero,0.041,2
JALISCO,FLOR KALE,Invernadero,0.500,1
JALISCO,FLORES,Invernadero,2.988,8
JALISCO,FLORES,Macrotunel,1.000,1
JALISCO,FOLLAJE,Invernadero,0.192,4
JALISCO,FRAMBUESA,Casa sombra,1.000,1
JALISCO,FRAMBUESA,Invernadero,24.200,4
JALISCO,FRAMBUESA,Macrotunel,"1,077.253",486
JALISCO,FRESA,Invernadero,0.207,8
JALISCO,FRESA,Macrotunel,258.554,182
JALISCO,FRESA,Microtunel,4.000,4
JALISCO,FRIJOL,Invernadero,0.048,1
JALISCO,GERBERA,Invernadero,2.266,20
JALISCO,GYPSOPHILIA,Invernadero,0.150,1
JALISCO,HELECHO,Casa sombra,69.020,6
JALISCO,HELECHO,Invernadero,1.120,6
JALISCO,LECHUGA,Invernadero,2.039,5
JALISCO,LILIUM (GRUESA),Invernadero,0.123,4
JALISCO,LIMÓN,Casa sombra,0.018,1
JALISCO,LIMÓN,Invernadero,0.056,2
JALISCO,LOMBRICULTURA,Invernadero,0.045,2
JALISCO,MAIZ FORRAJERO,Invernadero,0.009,1
JALISCO,MAÍZ GRANO,Invernadero,0.133,2
JALISCO,MALVA,Invernadero,1.028,2
JALISCO,MAÑANITAS,Invernadero,0.048,1
JALISCO,MARGARITA,Invernadero,0.480,1
JALISCO,MARGARITA,Macrotunel,0.076,5
JALISCO,MOLUCELLA,Invernadero,0.150,1
JALISCO,NOCHE BUENA,Invernadero,16.947,27
JALISCO,NOPAL VERDURA,Invernadero,0.048,1
JALISCO,ORQUIDEA,Casa sombra,0.050,1
JALISCO,ORQUIDEA,Invernadero,0.054,1
JALISCO,PALMA DE ORNATO,Invernadero,0.006,1
JALISCO,PAPA (SEMILLA),Invernadero,0.084,1
JALISCO,PAPAYA,Macrotunel,0.075,3
JALISCO,PEPINO,Casa sombra,3.930,3
JALISCO,PEPINO,Invernadero,5.876,18
JALISCO,PEPINO,Macrotunel,0.750,2
JALISCO,PERRITO,Invernadero,0.100,1
JALISCO,PINO,Casa sombra,0.190,4
JALISCO,PINO,Invernadero,0.092,3
JALISCO,PINO,Techo sombra,1.000,4
JALISCO,PINO GREGGII,Invernadero,0.240,4
JALISCO,PLANTAS DE ORNATO,Casa sombra,0.030,1
JALISCO,PLANTAS DE ORNATO,Invernadero,0.602,26
JALISCO,PLANTAS DE ORNATO,Macrotunel,0.059,2
JALISCO,PLANTAS DE ORNATO,Techo sombra,0.050,1
JALISCO,PLANTERO,Invernadero,0.760,13
JALISCO,PLANTULA,Invernadero,0.444,2
JALISCO,PLANTULA,Macrotunel,1.799,2
JALISCO,ROMERO,Invernadero,1.400,2
JALISCO,ROSA,Invernadero,7.994,38
JALISCO,ROSA COSTER,Invernadero,0.480,1
JALISCO,SANDIA,Invernadero,1.050,4
JALISCO,SANDIA (PLANTULA),Invernadero,0.228,1
JALISCO,SIMIENTES,Invernadero,0.054,1
JALISCO,SPRENGERI,Invernadero,0.475,1
JALISCO,TOMATE ROJO (JITOMATE),Casa sombra,16.648,15
JALISCO,TOMATE ROJO (JITOMATE),Invernadero,558.980,1028
JALISCO,TOMATE ROJO (JITOMATE),Macrotunel,0.271,2
JALISCO,TOMATE ROJO (PLÁNTULA),Casa sombra,0.056,1
JALISCO,TOMATE ROJO (PLÁNTULA),Invernadero,4.169,11
JALISCO,TOMATE ROJO (PLÁNTULA),Macrotunel,0.550,1
JALISCO,TOMATE VERDE (PLÁNTULA),Invernadero,0.100,1
JALISCO,ZARZAMORA,Invernadero,0.192,2
JALISCO,ZARZAMORA,Macrotunel,460.199,235
MEXICO,ACELGA,Invernadero,0.025,2
MEXICO,ACELGA,Macrotunel,0.044,6
MEXICO,ACELGA,Microtunel,0.006,1
MEXICO,AGAPANDO,Invernadero,0.100,1
MEXICO,AGAZANIA (GAZANIA),Invernadero,0.285,10
MEXICO,ALCATRAZ,Macrotunel,0.020,1
MEXICO,ALSTROEMERIA (GRUESA),Invernadero,5.530,17
MEXICO,ALSTROEMERIA (GRUESA),Macrotunel,2.732,17
MEXICO,ALSTROEMERIA (GRUESA),Microtunel,4.380,24
MEXICO,AMARANTO,Invernadero,0.375,8
MEXICO,AMORES,Invernadero,0.028,1
MEXICO,ARBOL DE LA ABUNDANCIA,Invernadero,0.050,1
MEXICO,ARETILLO,Invernadero,0.021,1
MEXICO,ASTER (MANOJO),Invernadero,3.400,10
MEXICO,ASTER (MANOJO),Macrotunel,8.424,42
MEXICO,ASTER (MANOJO),Microtunel,11.962,72
MEXICO,BEGONIA,Invernadero,0.202,2
MEXICO,BELEN DOBLE (PLÁNTULA),Invernadero,0.032,1
MEXICO,BROCOLI,Invernadero,0.225,5
MEXICO,BROCOLI,Macrotunel,0.035,4
MEXICO,CACTUS,Invernadero,0.240,1
MEXICO,CALABACITA,Invernadero,0.933,5
MEXICO,CALABACITA,Macrotunel,0.172,6
MEXICO,CANOLA,Casa sombra,0.024,1
MEXICO,CEBOLLA,Invernadero,0.400,3
MEXICO,CEBOLLA,Macrotunel,0.028,5
MEXICO,CEDRO,Invernadero,0.100,1
MEXICO,CEDRO COMPACTO,Invernadero,0.300,2
MEXICO,CEDRO LIMON,Invernadero,0.075,3
MEXICO,CHICHARO,Invernadero,0.200,1
MEXICO,CHICHARO,Macrotunel,0.011,2
MEXICO,CHICHARO,Microtunel,0.001,1
MEXICO,CHILE MANZANO,Invernadero,9.530,37
MEXICO,CHILE MANZANO,Macrotunel,1.960,23
MEXICO,CHILE MANZANO,Microtunel,0.220,2
MEXICO,CHILE MORRON,Invernadero,0.210,3
MEXICO,CHILE MORRON,Macrotunel,0.032,3
MEXICO,CHILE POBLANO,Invernadero,0.912,7
MEXICO,CHILE POBLANO,Macrotunel,0.095,3
MEXICO,CHILE POBLANO,Techo sombra,0.006,1
MEXICO,CHILE VERDE,Invernadero,0.450,5
MEXICO,CILANTRO,Invernadero,0.075,2
MEXICO,CILANTRO,Macrotunel,0.087,20
MEXICO,CILANTRO,Microtunel,0.014,3
MEXICO,CILANTRO,Techo sombra,0.001,1
MEXICO,CLAVEL,Invernadero,7.348,32
MEXICO,CLAVEL,Macrotunel,44.671,141
MEXICO,CLAVEL,Microtunel,35.723,103
MEXICO,CLAVELINES,Invernadero,0.032,1
MEXICO,CLAVELLINA,Invernadero,0.045,2
MEXICO,CLAVELLINA,Microtunel,0.150,1
MEXICO,COL (REPOLLO),Macrotunel,0.026,6
MEXICO,COL (REPOLLO),Microtunel,0.002,1
MEXICO,COLIFLOR,Invernadero,0.270,1
MEXICO,COLIFLOR,Macrotunel,0.042,5
MEXICO,CONCHAS,Invernadero,0.593,5
MEXICO,CRISANTEMO,Invernadero,33.198,136
MEXICO,CRISANTEMO,Macrotunel,30.490,235
MEXICO,CRISANTEMO,Microtunel,34.696,231
MEXICO,DALIA,Invernadero,0.156,3
MEXICO,DURANTA,Invernadero,0.180,3
MEXICO,DURAZNO,Macrotunel,0.250,1
MEXICO,ELEONORA,Macrotunel,0.340,3
MEXICO,ELEONORA,Microtunel,0.400,3
MEXICO,ELIAS,Invernadero,0.797,20
MEXICO,ESPARRAGO,Invernadero,1.750,1
MEXICO,ESPINACA,Invernadero,1.405,22
MEXICO,ESPINACA,Macrotunel,0.470,23
MEXICO,FOLLAJE,Microtunel,0.200,1
MEXICO,FOSTER (PLANTULA),Invernadero,0.010,1
MEXICO,FRESA,Invernadero,2.731,19
MEXICO,FRESA,Macrotunel,0.553,5
MEXICO,FRESA,Microtunel,0.250,1
MEXICO,FRESA,Techo sombra,0.015,1
MEXICO,FRESA PLANTA,Invernadero,0.030,1
MEXICO,FRIJOL,Invernadero,0.071,2
MEXICO,FRIJOL,Macrotunel,0.120,1
MEXICO,FRUTALES VARIOS,Invernadero,0.100,1
MEXICO,FRUTALES VARIOS,Vivero,0.080,1
MEXICO,GERANIO,Invernadero,1.003,16
MEXICO,GERBERA,Invernadero,15.244,19
MEXICO,GERBERA,Macrotunel,1.820,7
MEXICO,GERBERA,Microtunel,0.250,1
MEXICO,GYPSOPHILIA,Invernadero,0.110,1
MEXICO,GYPSOPHILIA,Macrotunel,0.120,2
MEXICO,HABA VERDE,Macrotunel,0.011,2
MEXICO,HIERBAS DE OLOR,Invernadero,0.110,3
MEXICO,HONGO SETA (ZETA),Invernadero,1.280,10
MEXICO,HONGO SETA (ZETA),Macrotunel,0.290,4
MEXICO,HONGOS,Invernadero,0.033,1
MEXICO,HORTENCIA (PLANTA),Invernadero,0.250,2
MEXICO,LECHUGA,Casa sombra,0.007,1
MEXICO,LECHUGA,Invernadero,2.905,39
MEXICO,LECHUGA,Macrotunel,1.043,104
MEXICO,LECHUGA,Microtunel,0.006,2
MEXICO,LILIS,Invernadero,4.490,19
MEXICO,LILIS,Macrotunel,5.267,9
MEXICO,LILIS,Microtunel,2.050,3
MEXICO,LILIUM (GRUESA),Invernadero,1.115,7
MEXICO,LILIUM (GRUESA),Macrotunel,3.295,20
MEXICO,LILIUM (GRUESA),Microtunel,1.840,9
MEXICO,LIMONIUM,Invernadero,2.000,4
MEXICO,MAÍZ GRANO,Casa sombra,0.024,1
MEXICO,MAÍZ GRANO,Invernadero,0.050,1
MEXICO,MAÍZ GRANO,Macrotunel,1.000,2
MEXICO,MALVA,Invernadero,0.622,11
MEXICO,MALVON,Invernadero,1.618,23
MEXICO,MAÑANITAS,Invernadero,0.050,1
MEXICO,MARGARITA,Invernadero,0.060,2
MEXICO,MARGARITA,Macrotunel,2.161,14
MEXICO,MARGARITA,Microtunel,0.259,8
MEXICO,MONA LISA,Invernadero,0.012,1
MEXICO,N/A,Invernadero,0.630,9
MEXICO,N/A,Macrotunel,8.752,108
MEXICO,N/A,Microtunel,0.200,1
MEXICO,NOCHE BUENA,Invernadero,2.530,24
MEXICO,NOCHE BUENA,Macrotunel,0.045,2
MEXICO,NOCHE BUENA,Microtunel,0.200,1
MEXICO,NOPAL VERDURA,Casa sombra,0.200,1
MEXICO,NOPAL VERDURA,Invernadero,3.745,16
MEXICO,NOPAL VERDURA,Macrotunel,20.165,148
MEXICO,NOPAL VERDURA,Microtunel,31.077,138
MEXICO,PANALILLO,Invernadero,0.029,2
MEXICO,PAPA,Invernadero,0.580,5
MEXICO,PAPA,Macrotunel,0.081,4
MEXICO,PENSAMIENTO (PLANTA),Invernadero,0.326,10
MEXICO,PEPINO,Invernadero,3.450,13
MEXICO,PEPINO,Macrotunel,0.051,2
MEXICO,PERRITO,Invernadero,0.075,3
MEXICO,PETUNIA,Invernadero,0.876,23
MEXICO,PINO,Invernadero,0.050,1
MEXICO,PINO MICHOACANO (PLANTULA),Techo sombra,0.050,1
MEXICO,PLANTAS DE ORNATO,Casa sombra,0.080,2
MEXICO,PLANTAS DE ORNATO,Invernadero,76.491,296
MEXICO,PLANTAS DE ORNATO,Macrotunel,4.091,53
MEXICO,PLANTAS DE ORNATO,Microtunel,0.740,7
MEXICO,PLANTAS DE ORNATO,Techo sombra,0.213,10
MEXICO,PLANTAS DE ORNATO,Vivero,0.573,8
MEXICO,POLAR,Invernadero,1.545,5
MEXICO,POLAR,Macrotunel,1.129,8
MEXICO,POLAR,Microtunel,5.700,20
MEXICO,PON-PON,Invernadero,0.100,1
MEXICO,PON-PON,Macrotunel,0.249,5
MEXICO,PRINCESA,Invernadero,0.040,1
MEXICO,QUELITE,Microtunel,0.100,3
MEXICO,RABANITO,Macrotunel,0.043,11
MEXICO,RABANITO,Microtunel,0.001,1
MEXICO,RABANO,Macrotunel,0.006,1
MEXICO,ROSA,Invernadero,159.738,298
MEXICO,ROSA,Macrotunel,15.250,81
MEXICO,ROSA,Microtunel,6.524,22
MEXICO,ROSA COSTER,Invernadero,0.052,2
MEXICO,SANDERIANA,Invernadero,0.017,1
MEXICO,SIN PRODUCCIÓN,Invernadero,0.339,7
MEXICO,SOLIDAGO (MANOJO),Invernadero,3.550,6
MEXICO,SOLIDAGO (MANOJO),Macrotunel,5.662,26
MEXICO,SOLIDAGO (MANOJO),Microtunel,13.385,89
MEXICO,TOMATE ROJO (JITOMATE SEMILLA),Invernadero,0.200,3
MEXICO,TOMATE ROJO (JITOMATE SEMILLA),Macrotunel,0.010,1
MEXICO,TOMATE ROJO (JITOMATE),Invernadero,96.470,864
MEXICO,TOMATE ROJO (JITOMATE),Macrotunel,3.881,182
MEXICO,TOMATE ROJO (JITOMATE),Microtunel,0.936,13
MEXICO,TOMATE ROJO (JITOMATE),Pabellón,0.020,1
MEXICO,TOMATE ROJO (JITOMATE),Techo sombra,0.157,4
MEXICO,TOMATE ROJO (JITOMATE),Vivero,0.050,1
MEXICO,TULIPANES,Invernadero,0.040,1
MEXICO,VIOLETA,Invernadero,0.012,2
MEXICO,ZEMPOALXOCHITL,Invernadero,0.030,1
MICHOACAN,AGUACATE,Invernadero,0.024,1
MICHOACAN,ALCACHOFA,Vivero,0.036,1
MICHOACAN,ALCATRAZ,Invernadero,0.020,1
MICHOACAN,BERENJENA,Invernadero,0.500,1
MICHOACAN,CALABACITA,Invernadero,0.600,1
MICHOACAN,CHILE HABANERO,Invernadero,0.058,1
MICHOACAN,CHILE MANZANO,Invernadero,0.600,2
MICHOACAN,CHILE MANZANO,Macrotunel,0.045,1
MICHOACAN,CHILE MORRON,Casa sombra,4.000,1
MICHOACAN,CHILE MORRON,Invernadero,4.900,2
MICHOACAN,CHILE MORRON,Macrotunel,1.000,1
MICHOACAN,CHILE POBLANO,Invernadero,0.270,1
MICHOACAN,CHILE POBLANO,Vivero,0.110,1
MICHOACAN,COLIFLOR,Invernadero,0.122,1
MICHOACAN,ESPARRAGO,Vivero,0.036,1
MICHOACAN,FRESA,Invernadero,1.250,1
MICHOACAN,FRESA,Macrotunel,269.000,26
MICHOACAN,FRIJOL,Invernadero,0.092,2
MICHOACAN,GERANIO,Invernadero,8.000,1
MICHOACAN,HONGO SETA (ZETA),Invernadero,0.010,1
MICHOACAN,LECHUGA,Invernadero,0.024,1
MICHOACAN,NABO,Invernadero,0.012,1
MICHOACAN,NOCHE BUENA,Invernadero,51.883,197
MICHOACAN,NOCHE BUENA,Macrotunel,0.825,2
MICHOACAN,PEPINO,Invernadero,4.719,23
MICHOACAN,PEPINO,Techo sombra,0.105,1
MICHOACAN,PINO LACIO,Techo sombra,0.171,1
MICHOACAN,PLANTAS DE ORNATO,Invernadero,0.470,4
MICHOACAN,POLAR,Invernadero,0.100,2
MICHOACAN,ROSA,Invernadero,4.500,1
MICHOACAN,TOMATE ROJO (JITOMATE SEMILLA),Invernadero,0.046,2
MICHOACAN,TOMATE ROJO (JITOMATE),Invernadero,157.509,263
MICHOACAN,TOMATE ROJO (JITOMATE),Macrotunel,5.190,9
MICHOACAN,TOMATE ROJO (JITOMATE),Vivero,0.638,5
MICHOACAN,ZARZAMORA,Invernadero,0.102,1
MICHOACAN,ZARZAMORA,Macrotunel,9.000,2
MORELOS,ACACIAS,Techo sombra,0.010,1
MORELOS,ADELFOS,Invernadero,0.370,9
MORELOS,ADELFOS,Macrotunel,0.007,1
MORELOS,ADELFOS,Techo sombra,0.680,3
MORELOS,AGAPANDO,Invernadero,0.020,2
MORELOS,AGAVE,Invernadero,0.010,1
MORELOS,AGAVE,Techo sombra,0.060,1
MORELOS,AGUACATE,Invernadero,0.030,1
MORELOS,AGUACATE,Techo sombra,0.200,1
MORELOS,AHUEHUETE,Invernadero,0.020,1
MORELOS,AHUEHUETE,Techo sombra,0.150,1
MORELOS,ALAMANDA,Invernadero,0.010,1
MORELOS,ALBAHACA,Casa sombra,0.010,1
MORELOS,ALBAHACA,Invernadero,0.150,1
MORELOS,ALBAHACA,Techo sombra,0.050,1
MORELOS,ALCATRAZ,Invernadero,0.015,1
MORELOS,ALFOMBRILLA,Casa sombra,0.020,1
MORELOS,ALGODÓN PLUMA,Invernadero,0.120,1
MORELOS,AMARANTO,Casa sombra,0.200,1
MORELOS,AMARANTO,Invernadero,1.398,9
MORELOS,AMARANTO,Techo sombra,0.150,2
MORELOS,AMARILIS,Invernadero,0.300,1
MORELOS,ANTURIOS,Casa sombra,0.050,1
MORELOS,ANTURIOS,Invernadero,0.770,6
MORELOS,ARALIA,Casa sombra,0.266,2
MORELOS,ARALIA,Invernadero,0.915,9
MORELOS,ARALIA,Techo sombra,0.530,11
MORELOS,ARBOL DE LA ABUNDANCIA,Invernadero,0.120,1
MORELOS,ARBOLES PARA JARDIN,Invernadero,0.550,4
MORELOS,ARBOLES PARA JARDIN,Techo sombra,0.400,1
MORELOS,ARETILLO,Invernadero,0.060,1
MORELOS,AROMATICAS,Invernadero,1.000,1
MORELOS,ARRAYAN,Invernadero,0.045,3
MORELOS,ARRAYAN,Vivero,0.025,1
MORELOS,ARUGULA,Invernadero,0.400,2
MORELOS,ASTER (MANOJO),Invernadero,0.340,4
MORELOS,AVE DEL PARAISO,Invernadero,0.233,1
MORELOS,AVE DEL PARAISO,Techo sombra,0.700,4
MORELOS,AZALEA (PLANTA),Casa sombra,0.036,2
MORELOS,AZALEA (PLANTA),Invernadero,2.873,15
MORELOS,AZALEA (PLANTA),Vivero,0.020,1
MORELOS,AZUCENA,Invernadero,0.005,1
MORELOS,BAMBU,Invernadero,0.050,1
MORELOS,BEGONIA,Invernadero,0.726,11
MORELOS,BEGONIA,Techo sombra,0.050,1
MORELOS,BELEN (PLANTA),Casa sombra,0.080,2
MORELOS,BELEN (PLANTA),Invernadero,3.635,34
MORELOS,BELEN (PLANTA),Techo sombra,0.350,2
MORELOS,BELEN DE GUINEA,Casa sombra,0.070,1
MORELOS,BELEN DE GUINEA,Invernadero,2.151,26
MORELOS,BELEN DOBLE,Invernadero,0.080,1
MORELOS,BEUCARNEA,Invernadero,0.100,1
MORELOS,BEUCARNEA,Techo sombra,0.160,3
MORELOS,BIGNONIA,Vivero,0.020,1
MORELOS,BONZAI,Invernadero,0.080,1
MORELOS,BONZAI,Techo sombra,0.050,1
MORELOS,BUGAMBILIA (PLANTA),Casa sombra,0.340,2
MORELOS,BUGAMBILIA (PLANTA),Invernadero,4.161,39
MORELOS,BUGAMBILIA (PLANTA),Macrotunel,0.007,1
MORELOS,BUGAMBILIA (PLANTA),Microtunel,0.165,5
MORELOS,BUGAMBILIA (PLANTA),Techo sombra,2.609,17
MORELOS,BUGAMBILIA (PLANTA),Vivero,0.627,9
MORELOS,CALABACITA (PLANTULA),Vivero,0.050,1
MORELOS,CALABAZA,Casa sombra,0.033,1
MORELOS,CALABAZA,Invernadero,8.300,2
MORELOS,CALABAZA,Techo sombra,0.075,2
MORELOS,CALANCOE,Invernadero,0.060,1
MORELOS,CALISTEMO,Techo sombra,0.500,1
MORELOS,CAMPANAS HOLANDA,Invernadero,0.575,9
MORELOS,CARISA,Invernadero,0.050,1
MORELOS,CARISA,Techo sombra,0.250,2
MORELOS,CEBOLLA,Casa sombra,0.058,2
MORELOS,CEBOLLA,Invernadero,0.150,3
MORELOS,CEBOLLA,Techo sombra,0.150,2
MORELOS,CEDRO,Invernadero,1.022,12
MORELOS,CEDRO,Techo sombra,0.120,2
MORELOS,CEDRO COMPACTO,Invernadero,0.368,6
MORELOS,CEDRO COMPACTO,Techo sombra,0.700,3
MORELOS,CEDRO LIMON,Casa sombra,1.630,4
MORELOS,CEDRO LIMON,Invernadero,1.610,17
MORELOS,CEDRO LIMON,Macrotunel,0.010,1
MORELOS,CEDRO LIMON,Microtunel,0.328,10
MORELOS,CEDRO LIMON,Techo sombra,3.502,26
MORELOS,CELOSIA,Invernadero,0.200,1
MORELOS,CEREZA,Techo sombra,0.010,1
MORELOS,CHILE,Invernadero,0.429,6
MORELOS,CHILE,Techo sombra,0.225,2
MORELOS,CHILE,Vivero,0.015,1
MORELOS,CHILE (PLANTULA),Vivero,0.050,1
MORELOS,CHILE DE ORNATO,Invernadero,0.050,1
MORELOS,CHILE MANZANO,Casa sombra,0.010,1
MORELOS,CHILE MORRON,Invernadero,0.205,3
MORELOS,CHILE MORRON,Vivero,0.100,1
MORELOS,CHILE VERDE,Techo sombra,0.150,1
MORELOS,CICLAMEN,Casa sombra,0.050,1
MORELOS,CICLAMEN,Invernadero,0.400,3
MORELOS,CIPRES,Casa sombra,0.260,2
MORELOS,CIPRES,Invernadero,1.457,16
MORELOS,CIPRES,Macrotunel,0.050,1
MORELOS,CIPRES,Microtunel,0.192,11
MORELOS,CIPRES,Techo sombra,3.082,25
MORELOS,CISO,Invernadero,0.007,1
MORELOS,CISO,Vivero,0.020,1
MORELOS,CISUS,Invernadero,0.025,1
MORELOS,CITRICOS,Casa sombra,0.010,1
MORELOS,CITRICOS,Invernadero,0.300,1
MORELOS,CITRICOS,Vivero,0.020,1
MORELOS,CLAVEL,Invernadero,0.225,3
MORELOS,CLAVO,Casa sombra,0.780,5
MORELOS,CLAVO,Invernadero,3.072,18
MORELOS,CLAVO,Microtunel,0.006,1
MORELOS,CLAVO,Techo sombra,1.797,19
MORELOS,COLA DE CABALLO,Techo sombra,0.010,1
MORELOS,COLEO,Invernadero,0.035,4
MORELOS,COLIOS,Techo sombra,0.030,1
MORELOS,COPA DE ORO,Invernadero,0.107,2
MORELOS,COPA DE ORO,Techo sombra,0.200,2
MORELOS,COPA DE ORO,Vivero,0.020,1
MORELOS,CRISANTEMO,Invernadero,2.825,24
MORELOS,CROTO,Invernadero,0.800,1
MORELOS,CROTO PRETA,Invernadero,0.005,1
MORELOS,CROTOS,Casa sombra,0.150,1
MORELOS,CROTOS,Invernadero,3.251,14
MORELOS,CROTOS,Techo sombra,0.160,4
MORELOS,CUNA DE MOISES,Casa sombra,0.086,3
MORELOS,CUNA DE MOISES,Invernadero,3.662,26
MORELOS,CUNA DE MOISES,Techo sombra,0.200,2
MORELOS,DALIA,Invernadero,0.400,2
MORELOS,DIPLADENIA,Invernadero,0.627,3
MORELOS,DIZYGOTHECA ELEGANTISIMA,Casa sombra,0.133,1
MORELOS,DIZYGOTHECA ELEGANTISIMA,Invernadero,0.080,1
MORELOS,DRACEANA,Casa sombra,0.133,1
MORELOS,DRACEANA,Invernadero,0.300,1
MORELOS,DRACEANA,Techo sombra,0.270,4
MORELOS,DURANTA,Casa sombra,0.250,2
MORELOS,DURANTA,Invernadero,3.093,36
MORELOS,DURANTA,Macrotunel,0.050,1
MORELOS,DURANTA,Techo sombra,0.290,6
MORELOS,DURANTA,Vivero,0.241,5
MORELOS,EPAZOTE,Invernadero,0.040,1
MORELOS,EPOMEA,Invernadero,0.005,1
MORELOS,ESPINACA,Invernadero,0.100,1
MORELOS,EUGENIA,Invernadero,0.147,2
MORELOS,EUGENIA,Techo sombra,0.615,5
MORELOS,EUGENIA,Vivero,0.020,1
MORELOS,FICUS,Casa sombra,0.770,3
MORELOS,FICUS,Invernadero,3.339,27
MORELOS,FICUS,Techo sombra,3.410,15
MORELOS,FICUS,Vivero,0.020,1
MORELOS,FILODENDRO,Invernadero,1.300,2
MORELOS,FLORES,Invernadero,0.060,1
MORELOS,FLORES,Techo sombra,0.020,1
MORELOS,FORNIO,Casa sombra,0.133,1
MORELOS,FORNIO,Invernadero,0.100,1
MORELOS,FORNIO,Techo sombra,0.800,2
MORELOS,FRESA,Invernadero,0.270,3
MORELOS,FRESNO,Invernadero,0.125,1
MORELOS,FRESNO,Techo sombra,0.200,3
MORELOS,FRUTALES VARIOS,Invernadero,0.210,3
MORELOS,GARDENIA,Casa sombra,0.150,1
MORELOS,GARDENIA,Invernadero,0.050,1
MORELOS,GARDENIA,Techo sombra,0.050,1
MORELOS,GARDENIA,Vivero,0.025,1
MORELOS,GARRA DE LEON,Invernadero,0.050,1
MORELOS,GERANIO,Invernadero,0.292,5
MORELOS,GERANIO REGAL,Invernadero,0.450,1
MORELOS,GERBERA,Invernadero,0.250,2
MORELOS,GLOXINIA,Invernadero,0.200,1
MORELOS,GRANADA,Invernadero,0.142,2
MORELOS,GRANADA,Techo sombra,0.160,2
MORELOS,GUAYABA,Invernadero,0.050,1
MORELOS,GUAYABO,Invernadero,0.100,1
MORELOS,GUAYABO,Techo sombra,0.300,2
MORELOS,HELECHO,Invernadero,4.885,18
MORELOS,HELECHO,Techo sombra,0.510,6
MORELOS,HIEDRA,Techo sombra,0.010,1
MORELOS,HIERBABUENA,Casa sombra,0.010,1
MORELOS,HIERBABUENA,Invernadero,0.100,1
MORELOS,HIERBABUENA,Techo sombra,0.010,1
MORELOS,HONGO SETA (ZETA),Invernadero,0.035,1
MORELOS,HORTENCIA (PLANTA),Invernadero,0.380,4
MORELOS,HORTENCIA (PLANTA),Techo sombra,0.600,2
MORELOS,HUELE DE NOCHE,Invernadero,0.007,1
MORELOS,HUELE DE NOCHE,Vivero,0.020,1
MORELOS,IRIS,Casa sombra,0.030,1
MORELOS,ISORA,Invernadero,0.050,1
MORELOS,JACARANDA,Casa sombra,0.020,1
MORELOS,JACARANDA,Invernadero,0.110,4
MORELOS,JACARANDA,Techo sombra,0.200,2
MORELOS,JAZMIN,Casa sombra,0.100,1
MORELOS,JAZMIN,Invernadero,0.310,4
MORELOS,JAZMIN,Techo sombra,0.150,2
MORELOS,JUNIPERO,Casa sombra,0.300,1
MORELOS,JUNIPERO,Invernadero,0.500,1
MORELOS,JUNIPERO,Techo sombra,0.955,8
MORELOS,LANTANA,Casa sombra,0.005,1
