Claves_de_serie,Descripción_de_la_serie
936,"Población de 18 años y más víctimas de delitos violentos que informaron su victimización a autoridades competentes u otros mecanismos de resolución de conflictos reconocidos oficialmente"
937,"Población de 18 años y más víctima de violencia física o sexual"
939,"Total de unidades económicas que reportaron ser víctima de algún acto de corrupción por parte de un empleado de gobierno, servidor público, una tercera persona o coyote a nombre de un empleado de gobierno o servidor público"
940,"Total de unidades económicas"
945,"Población de 18 años y más que reportó haber sido víctima de robo en la calle o el transporte público (con o sin violencia), o que reportó haber sido víctima del delito de agresión física donde estuvieron presentes al momento de la ocurrencia del delito o que pudieron presenciar éste, o que reportó haber sido víctima de robo total o parcial de auto o de robo en forma distinta a la anterior que estuvieron presentes al momento de la ocurrencia del delito o que pudieron presenciar éste y los delincuentes le hayan causado alguna lesión con un arma o hayan utilizado otro tipo de violencia física o el principal daño sufrido por el delito fue físico"
948,"Población de 18 años y más que reportó haber sido víctima de alguien que en contra de su voluntad lo(a) haya agredido mediante hostigamiento sexual, manoseo, exhibicionismo o intento de violación o que fueron obligados(as) mediante violencia física o amenaza por alguien conocido o desconocido a tener una actividad sexual no deseada"
949,"Población de 18 años y más"
964,"Eficiencia en el uso del agua del año i (pesos/m3)"
967,"Extracción total de agua dulce, en millones de metros cúbicos"
968,"Recursos renovables totales de agua dulce, en millones de metros cúbicos"
969,"Requisitos de caudales ambientales, en millones de metros cúbicos"
971,"Entorno Propicio"
972,"Instituciones y Participación"
973,"Instrumentos de Gestión"
974,"Financiación"
976,"Superficie total de las cuencas/sub-cuencas transfronterizas de ríos y lagos que son objeto de acuerdos operativos dentro del territorio del país  (en km2)"
977,"Superficie de acuíferos transfronterizos que son objeto de acuerdos operativos dentro del territorio del país (en km2)"
978,"Superficie total de las cuencas transfronterizas de ríos y lagos dentro del territorio del país (en km2)"
979,"Superficie total de los acuíferos transfronterizos (en km2)"
981,"Población de 18 años y más vícitma de corrupción en al menos un trámite, pago o solicitud de servicio realizado personalmente"
982,"Población de 18 años y más que realizó al menos un trámite, pago o solicitud de servicio personalmente con un servidor público"
991,"Personas muertas por la ocurrencia de desastres"
992,"Personas desaparecidas por la ocurrencia de desastres"
993,"Personas afectadas por la ocurrencia de desastres"
994,"Población total"
998,"Número de cuerpos de agua clasificados con buena calidad del agua"
999,"Número total de cuerpos de agua considerados y clasificados"
1078,"Total de accesos del servicio fijo de Internet"
1079,"Población estimada de cada trimestre"
1081,"Población que vive por debajo del umbral internacional de la pobreza"
1082,"Población total"
1089,"Población de 18 años y más que identifica a la policía estatal y manifiesta que le inspira mucha y algo de confianza"
1090,"Población de 18 años y más que identifica a la policía estatal"
1091,"Población de 18 años y más que identifica a los Ministerios Públicos y Procuradurías y manifiesta que le inspira mucha y algo de confianza"
1092,"Población de 18 años y más que identifica a los Ministerios Públicos y Procuradurías"
1095,"Población de 18 años y más que identifica a los jueces y manifestó que estos le inspiran mucha confianza o algo de confianza"
1096,"Población de 18 años y más que identifica a los jueces"
1097,"Mujeres y niñas de 15 años o más que han experimentado al menos un acto de violencia y pidieron apoyo a alguna institución o presentaron una queja o denuncia ante alguna autoridad."
1098,"Total de mujeres y niñas de 15 años o más que han experimentado al menos un acto de violencia"
1101,"Personas de 18 años y más que respondieron estar satisfechas y muy satisfechas con el servicio de calles y avenidas"
1102,"Población de 18 años y más que habita en áreas urbanas de cien mil habitantes y más"
1103,"Puestos de trabajo ocupados totales del sector de la cultura del año t"
1104,"Puestos de trabajo ocupados totales del sector de la cultura del año t-1"
1106,"Población de 18 años y más que reportó haber sido victíma de al menos un delito durante el año"
1107,"Población de 18 años y más"
1109,"Total de unidades económicas víctimas de por lo menos un delito"
1110,"Total de unidades económicas"
1112,"Delitos denunciados ante el Ministerio Público en el que el trato recibido por parte de este al momento de la denuncia fue calificado como bueno o excelente"
1113,"Total de delitos denunciados ante el Ministerio Público"
1114,"Población que tiene acceso al agua entubada diariamente así como al saneamiento básico"
1115,"Población total"
1120,"Personal Ocupado Total"
1121,"Personal Ocupado Total Generado por la MIPYMES"
1122,"Ingresos propios (provenientes de impuestos, contribuciones de mejora, cuotas y aportaciones de seguridad social, derechos, productos, aprovechamientos y otros ingresos"
1123,"Ingresos Totales"
1127,"Personas de 18 años y más que respondieron estar satisfechas y muy satisfechas con el servicio de recolección de basura"
1128,"Población de 18 años y más que habita en áreas urbanas de cien mil habitantes y más"
1130,"Personas de 18 años y más que respondieron estar satisfechas y muy satisfechas con el servicio de alumbrado público"
1131,"Población de 18 años y más que habita en áreas urbanas de cien mil habitantes y más"
1133,"Personas de 18 años y más que respondieron estar satisfechas y muy satisfechas con el servicio de drenaje y alcantarillado"
1134,"Población de 18 años y más que habita en áreas urbanas de cien mil habitantes y más"
1136,"Personas de 18 años y más que respondieron estar satisfechas y muy satisfechas con los servicios públicos básicos"
1137,"Población de 18 años y más que habita en áreas urbanas de cien mil habitantes y más"
1139,"Personas de 18 años y más que respondieron estar satisfechas y muy satisfechas con el servicio de parques y jardines"
1140,"Población de 18 años y más que habita en áreas urbanas de cien mil habitantes y más"
1142,"Mujeres. Promedio de horas a la semana de quehaceres domésticos y de cuidados a integrantes del hogar"
1143,"Hombres. Promedio de horas a la semana de quehaceres domésticos y de cuidados a integrantes del hogar"
1144,"Mujeres. Total de de horas a la semana de quehaceres domésticos y de cuidados a integrantes del hogar"
1145,"Hombres. Total de horas a la semana de quehaceres domésticos y de cuidados a integrantes del hogar"
1146,"Total de mujeres que realiza quehaceres domésticos y de cuidados a integrantes del hogar"
1147,"Total de hombres que realiza quehaceres domésticos y de cuidados a integrantes del hogar"
1148,"Municipios y demarcaciones territoriales que disponen los residuos sólidos urbanos en sitios de disposición final con infraestructura para el control de la fuga de lixiviados y biogases"
1149,"Municipios y demarcaciones territoriales con disposición final de residuos sólidos urbanos"
1156,"Mujeres que realizaron trabajo no remunerado de los hogares"
1157,"Horas totales semanales de las mujeres que realizaron trabajo no remunerado de los hogares"
1158,"Promedio de horas semanales de mujeres"
1159,"Hombres que realizaron trabajo no remunerado de los hogares"
1160,"Horas totales semanales de las hombres que realizaron trabajo no remunerado de los hogares"
1161,"Promedio de horas semanales de hombres"
1164,"Población de 18 años y más bisexual, gay o lesbiana u otra orientación que declaró al menos la negación de un derecho"
1165,"Población de 18 años y más bisexual, gay o lesbiana u otra orientación"
1167,"Matrícula de escuelas multigrado de primaria"
1168,"Matrícula total de primaria"
1169,"Total de personas con discapacidad (15 a  130 años de edad)"
1170,"Población con discapacidad en la PEA (15 a 130 años de edad)"
1199,"Mujeres de 15 años y más que han experimentado al menos un incidente de violencia en la escuela en los últimos 12 meses"
1200,"Total de mujeres de 15 años y más que asistieron a la escuela en los últimos 12 meses."
1202,"Casos nuevos y repetidores que recibieron tratamiento médico para paludismo"
1203,"Casos nuevos y repetidores de paludismo detectados"
1205,"Población que vive hasta a 2 Km de distancia de la carretera o camino más cercano, transitable todo el año, en las zonas rurales"
1206,"Población total que vive en las zonas rurales"
1210,"Superficie de terrenos forestales que permanecen como tales en el año t"
1212,"Presupuesto Federal para Investigación Científica y Desarrollo Experimental asignado a la Secretaría de Marina"
1213,"Presupuesto Federal Total para investigación Científica y Desarrollo Experimental"
1215,"Volumen de agua concesionada o asignada para usos consuntivos"
1216,"Volumen de agua renovable, que integra el escurrimiento superficial y la recarga de acuíferos"
1217,"Producción"
1218,"Superficie de riego cosechada"
1227,"Número de pasajeros transportados en modo aéreo en servicio regular y de fletamento"
1228,"Número de pasajeros transportados en modo ferroviario"
1229,"Número de pasajeros transportados en autotransporte federal"
1230,"Número de pasajeros transportados en modo marítimo"
1232,"Número de toneladas transportadas en servicio regular y de fletamento"
1233,"Número de toneladas transportadas vía ferroviario"
1234,"Número de toneladas transportadas vía autotransporte federal"
1235,"Número de toneladas transportadas vía marítimo"
1240,"Total de residuos sólidos urbanos recolectados en los municipios y demarcaciones territoriales con disposición final adecuada"
1241,"Total de residuos sólidos urbanos recolectados"
1242,"Total de residuos sólidos urbanos recolectados susceptibles de valorización"
1243,"Total de residuos sólidos urbanos recolectados"
1246,"Población de 18 años y más que identifica a la Presidencia de la República y a las Secretarías de Estado a nivel federal y manifiesta que le inspiran mucha y algo de confianza"
1247,"Población de 18 años y más que identifica a la Presidencia de la República y a las Secretarías de Estado a nivel federal"
1249,"Matrícula total en la educación superior"
1250,"Población total de 18 a 22 años de edad"
1251,"Número de hogares con gasto catastrófico en salud"
1252,"Número total de hogares"
1258,"Población de un año de edad que recibió el esquema básico de vacunación en el año"
1259,"Población media de un año de edad"
1267,"Consumo nacional de energía"
1268,"Producto Interno Bruto trimestral anualizado, a precios constantes, base 2018"
1273,"Número de casos confirmados de paludismo"
1281,"Población de 18 años y más que ha sufrido violencia psicológica"
1283,"Población de 18 años y más que se siente muy segura o segura al caminar sola por la noche en los alrededores de su vivienda"
1284,"Población de 18 años y más"
1286,"Población de 18 años y más víctima de violencia física que denunció el hecho ante el Ministerio Público"
1287,"Población de 18 años y más víctima de violencia física"
1289,"Población de 18 años y más víctima de violencia psicológica que denunció el hecho ante el Ministerio Público"
1290,"Población de 18 años y más víctima de violencia psicológica"
1292,"Población de mujeres de 18 años y más víctimas de violencia sexual que denunciaron el hecho ante el Ministerio Público"
1293,"Población de mujeres de 18 años y más víctimas de violencia sexual"
1299,"Hogares según decil de ingreso corriente total"
1300,"Ingreso corriente total trimestral con transferencias"
1302,"Ingreso corriente total trimestral sin transferencias"
1303,"Remuneración de asalariados"
1305,"Gasto en protección ambiental público"
1306,"Población total"
1323,"Población de 15 años y más que está muy de acuerdo o algo de acuerdo con la afirmación "En México, para la toma de decisiones, el gobierno considera las opiniones de las personas como usted""
1324,"Población de 15 años y más que respondió con algún nivel de acuerdo o desacuerdo (excluye no sabe/no responde)"
1326,"Población de 18 años y más cuyos hijos e hijas fueron usuarios de servicios de educación primaria, secundaria o bachillerato que está muy satisfecha o satisfecha con el servicio recibido"
1327,"Población de 18 años y más, cuyos hijos e hijas fueron usuarios de servicios de educación primaria, secundaria o bachillerato, que habita en áreas urbanas de cien mil habitantes y más"
1329,"Población de 18 años y más usuaria del servicio de educación pública universitaria que está muy satisfecha o satisfecha con el servicio recibido"
1330,"Población de 18 años y más usuaria del servicio de educación pública universitaria que habita en áreas urbanas de cien mil habitantes y más"
1337,"Ocupantes de viviendas particulares ubicadas en localidades urbanas que habitan en viviendas precarias"
1338,"Total de ocupantes en viviendas particulares ubicadas en localidades urbanas"
1339,"Extensión total de áreas verdes urbanas para un territorio y un año específico"
1340,"Población urbana total para el territorio en un año específico"
1342,"Población privada de la libertad en los centros penitenciarios federales"
1343,"Capacidad instalada (camas disponibles) en los centros penitenciarios federales"
1345,"Población privada de la libertad en los centros penitenciarios estatatales"
1346,"Capacidad instalada (camas disponibles) en los centros penitenciarios estatales"
1353,"Viviendas en rezago habitacional"
1354,"Viviendas totales"
1356,"Población adulta que es dueña del lugar en donde vive y que cuenta con documentación legalmente reconocida"
1357,"Población adulta que es dueña del lugar en donde vive"
1359,"Mujeres ejidatarias registradas en el Registro Agrario Nacional"
1360,"Total de personas ejidatarias registradas en el Registro Agrario Nacional"
1362,"Población agrícola con derechos de propiedad o derechos seguros"
1363,"Población agrícola"
1365,"Mujeres agrícolas con derechos seguros sobre tierras agrícolas"
1366,"Población agricola con derechos sobre tierras agrícolas"
1380,"Población que tiene fácil acceso a transporte público y que no necesita otro medio para acceder al transporte público en sus traslados al trabajo"
1381,"Población que utiliza el transporte público para llegar a sus trabajos"
1400,"Número de indicadores únicos del Marco Global publicados"
1401,"Número de indicadores únicos del Marco Regional publicados"
1402,"Número de indicadores únicos del Marco Global aplicables a México"
1403,"Número de indicadores únicos del Marco Regional aplicables a México"
1410,"Tiempo dedicado al trabajo doméstico"
1411,"Proporción del Tiempo dedicado al trabajo doméstico"
1412,"Tiempo dedicado al cuidado no remunerado"
1413,"Proporción del Tiempo dedicado al cuidado no remunerado"
1415,"Tiempo dedicado al trabajo doméstico"
1416,"Proporción del Tiempo dedicado al trabajo doméstico"
1417,"Tiempo dedicado al cuidado no remunerado"
1418,"Proporción del Tiempo dedicado al cuidado no remunerado"
1420,"Tiempo dedicado al trabajo doméstico"
1421,"Proporción del Tiempo dedicado al trabajo doméstico"
1422,"Tiempo dedicado al cuidado no remunerado"
1423,"Proporción del Tiempo dedicado al cuidado no remunerado"
1434,"Mujeres de 15 años o más que han sufrido en los 12 meses anteriores algún tipo de violencia infligida por un compañero íntimo actual o anterior."
1435,"Mujeres de 15 años o más que han tenido pareja."
1437,"Mujeres que han sufrido en los 12 meses anteriores algún tipo de violencia infligida por un compañero íntimo actual o anterior"
1438,"Mujeres que han tenido pareja"
1439,"Mujeres de 15 años o más que han sufrido en los 12 meses anteriores violencia sexual infligida por otra persona que no sea un compañero íntimo"
1440,"Mujeres de 15 años o más que experimentaron violencia sexual por parte de un agresor distinto a la pareja en los últimos 12 meses"
1442,"Mujeres que han sufrido en los 12 meses anteriores, violencia sexual infligida por otra persona que no sea un compañero íntimo"
1443,"Mujeres que experimentaron violencia sexual por parte de un agresor distinto a la pareja en los últimos 12 meses"
1445,"Ingreso mensual de los ocupados"
1446,"Total de horas trabajadas"
1448,"Ingreso mensual de los ocupados"
1449,"Total de horas trabajadas"
1451,"Ingreso mensual de los ocupados"
1452,"Total de horas trabajadas"
1454,"Ingreso mensual de los ocupados"
1455,"Total de horas trabajadas"
1457,"Número de tablas correspondientes a la Cuenta Satélite de Turismo"
1458,"Número de tablas correspondientes al Sistema de Cuentas Ambientales y Económicas"
1465,"Tasa de consumo de tierras"
1466,"Tasa de crecimiento de la población"
1468,"Zonas metropolitanas que cuentan con un Consejo Consultivo de Desarrollo Metropolitano, donde tienen una estructura de participación directa de la sociedad civil en la planificación y la gestión urbanas y funcionan con regularidad y democráticamente"
1469,"Total de zonas metropolitanas"
1504,"Valores del numerador (A+B/C)"
1505,"Valores del denominador (D/E)"
1506,"A. Grupo poblacional de interés (sexo, rangos de edad) laborando en la AP federal y estatal (titulares)"
1507,"B. Grupo poblacional de interés (sexo, rangos de edad) laborando en la AP federal y estatal (resto del personal)"
1508,"C. Total de personal laborando en la AP federal y estatal"
1509,"D. Grupo poblacional de interés (sexo, rangos de edad) en edad de trabajar (18 a 70 años)"
1510,"E. Total de la población en edad de trabajar (18 a 70 años)"
1512,"Hijos sobrevivientes menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil"
1513,"Total de hijos sobrevivientes menores de 5 años"
1515,"Hijos sobrevivientes menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil"
1516,"Total de hijos sobrevivientes menores de 5 años"
1522,"Población que vive por debajo del 50% de la mediana de los ingresos, desglosada por sexo, edad y personas con discapacidad"
1523,"Población total"
1525,"Población que vive por debajo del 50% de la mediana de los ingresos, desglosada por sexo, edad y personas con discapacidad"
1526,"Población total"
1528,"Valores del numerador (A+B)/(C+D)"
1529,"Valores del denominador (E/F)"
1530,"A. Grupo poblacional de interés (sexo, rangos de edad) en el poder judicial (jueces y magistrados)"
1531,"B. Grupo poblacional de interés (sexo, rangos de edad) laborando en el poder judicial (secretarios, secretarios de estudio y cuenta y/o proyectistas)"
1532,"C. Total de Ministros y Magistrados laborando en los órganos jurisdiccionales del poder judicial"
1533,"D. Total de Secretarios, Secretarios de estudio y cuenta y/o proyectistas laborando en los órganos jurisdiccionales del poder judicial"
1534,"E. Grupo poblacional de interés (sexo, rangos de edad) en edad de trabajar (18 a 70 años)"
1535,"F. Total de la población en edad de trabajar (18 a 70 años)"
1540,"Población de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones, con arreglo a las definiciones nacionales, por desglose geográfico"
1541,"Población total"
1543,"Mujeres en edad fértil (15 a 49 años) unidas que deciden (individual o conjuntamente) sobre cuándo tener relaciones sexuales, el uso de métodos anticonceptivos y sobre el cuidado de se salud sexual y reproductiva (Mujeres)"
1544,"Mujeres en edad fértil (15 a 49 años) unidas"
1546,"Último hijo nacido vivo en el periodo de 2013 a 2018, tenido a la edad de 15 a 29 años, que no fue planificado"
1547,"Último hijo nacido vivo en el periodo de 2013 a 2018, tenido a la edad de 15 a 29 años"
1549,"Número de personas muertas debido a intoxicaciones involuntarias"
1550,"Población a mitad de año"
1553,"Superficie marina calculada cubierta por áreas naturales protegidas federales en el año t"
1554,"Superficie cubierta por la Zona Económica Exclusiva en el año t"
1556,"Superficie marina calculada cubierta por áreas naturales protegidas federales en el año t"
1557,"Superficie cubierta por la Zona Económica Exclusiva en el año t"
1559,"Total de hijos(as) nacidos(as) vivos(as) en las niñas y adolescentes (de 10 a 14 años)"
1560,"Niñas y adolescentes (de 10 a 14 años) a mitad de año"
1567,"Población de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones, con arreglo a las definiciones nacionales"
1568,"Población total"
1570,"Número de muertes atribuidas al agua insalubre, al saneamiento insuficiente y a la falta de higiene (exposición a servicios inseguros de agua, saneamiento e higiene para todos (WASH))"
1571,"Población a mitad de año"
1581,"Número de muertes por suicidio"
1582,"Población a mitad de año"
1585,"Mujeres entre 20 y 24 años que ya estaban casadas o en una unión estable antes de los 15 años (o antes de los 18 años)"
1586,"Total de mujeres entre 20 y 24 años de edad"
1588,"Mujeres entre 20 y 24 años que ya estaban casadas o en una unión estable antes de los 15 años (o antes de los 18 años)"
1589,"Total de mujeres entre 20 y 24 años de edad"
1591,"Población en situación de pobreza"
1592,"Población de referencia"
1604,"Jóvenes de 15 a 24 años que no estudian, no tienen empleo, no recibe capacitación, no usa su tiempo en actividades domésticas no remuneradas"
1605,"Total de jóvenes de 15 a 24 años"
1606,"Valor agregado bruto del sector de la cultura en términos reales del año t"
1608,"Número de personal sanitario"
1611,"Población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad"
1612,"Población total"
1614,"Valor agregado de las actividades económicas de MHT"
1615,"Valor agregado total de la manufactura"
1616,"Valor agregado bruto del sector de la cultura en términos reales del año t-1"
1618,"PIB a precios constantes base 2015 expresado en Paridad de Poder de Compra (dólares)"
1619,"Emisiones totales (Kg de CO<sub>2</sub>e)"
